非晶态装甲云	Nimboarmadura amorfa
使<c val="ffff8a">自动机炮</c>、<c val="ffff8a">导弹塔</c>、<c val="ffff8a">行星要塞</c>和<c val="ffff8a">定点防御靶机</c>的射程增加1。	Aumenta en 1 el alcance de las <c val="ffff8a">Torretas automáticas</c>, las <c val="ffff8a">Torretas de misiles</c>, las <c val="ffff8a">Fortalezas planetarias</c> y los <c val="ffff8a">Drones de defensa puntual</c>.
使炮塔朝向目标，目标可以是单位或点，如果目标是单位，炮塔会随其转向，如果目标是点，炮塔会朝向该点。	Hace que la torreta se oriente hacia el objetivo, que puede ser una unidad o una ubicación. Si el objetivo es una unidad, la torreta la seguirá; si el objetivo es una ubicación, la torreta se orientará hacia esa ubicación.
对一条直线上的所有敌人造成<d ref="Effect,SOAMothershipLineAttackDamage,Amount"/>点伤害，最多延伸至10距离。	Inflige <d ref="Effect,SOAMothershipLineAttackDamage,Amount"/> de daño a todos los enemigos que están en una línea recta hasta un radio de alcance de 10.
地嗪瓦斯可由SCV采集。	Puedes recolectar gas terracino con los VCE.
将攻城坦克重新布置到目标位置。可以用来跨越悬崖地形。	Reposiciona el Tanque de asedio en la ubicación objetivo. Se puede usar para subir y bajar riscos.
充能1秒后发射一束激光，造成100点伤害	Carga durante 1 segundo y luego dispara un láser que inflige 100 de daño.
充能2秒后发射一束激光，造成100点伤害	Carga durante 2 segundos y luego dispara un láser que inflige 100 de daño.
非作战建筑。里面都是进行科研工作的人类科学家。	Estructura civil. Repleta de científicos terran que llevan a cabo investigaciones.
空中单位生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>-解放者	Complejo de producción de unidades aéreas. <n/><n/><c val="ffff8a">Habilita:</c><n/>- Libertadores
命令地堡内的所有单位使用超级强化剂。他们会像往常一样提升攻击速度，同时获得治疗。	Les ordena a todas las unidades que están dentro del Búnker que usen Superestimpacks. No dejarán de curarse ni de atacar más rápido.
提高恶蝠的攻击和移动速度，持续<d ref="Behavior,SuperStim,Duration"/>秒。治疗恶蝠<d ref="Effect,SuperStimpackMarauderHellbatSetMU,VitalArray[Life].Change"/>点生命值。	Aumenta la velocidad de ataque y movimiento de los Murciélagos infernales durante <d ref="Behavior,SuperStim,Duration"/> segundos. Cura al Murciélago infernal por <d ref="Effect,SuperStimpackMarauderHellbatSetMU,VitalArray[Life].Change"/> de vida.
提高劫掠者的攻击和移动速度，持续<d ref="Behavior,SuperStim,Duration"/>秒。治疗劫掠者<d ref="Effect,SuperStimpackMarauderHellbatSetMU,VitalArray[Life].Change"/>点生命值。	Aumenta la velocidad de ataque y movimiento de los Merodeadores infernales durante <d ref="Behavior,SuperStim,Duration"/> segundos. Cura al Merodeador por <d ref="Effect,SuperStimpackMarauderHellbatSetMU,VitalArray[Life].Change"/> de vida.
提高陆战队员的攻击和移动速度，持续<d ref="Behavior,SuperStim,Duration"/>秒。治疗陆战队员<d ref="Effect,SuperStimpackMarineSetMU,VitalArray[Life].Change"/>点生命值。	Aumenta la velocidad de ataque y movimiento de los Marines durante <d ref="Behavior,SuperStim,Duration"/> segundos. Cura al Marine por <d ref="Effect,SuperStimpackMarineSetMU,VitalArray[Life].Change"/> de vida.
提高收割者的攻击和移动速度，持续<d ref="Behavior,SuperStim,Duration"/>秒。治疗收割者<d ref="Effect,SuperStimpackReaperSetMU,VitalArray[Life].Change"/>点生命值。	Aumenta la velocidad de ataque y movimiento de los Yum-Kimiles durante <d ref="Behavior,SuperStim,Duration"/> segundos. Cura al Yum-Kimil por <d ref="Effect,SuperStimpackReaperSetMU,VitalArray[Life].Change"/> de vida.
斯通的移动速度提高<d ref="Behavior,SuperStimNova,Modification.AttackSpeedMultiplier *100-100"/>%，持续<d ref="Behavior,SuperStimNova,Duration"/>秒。在效果持续时间内持续治疗斯通<d ref="Behavior,SuperStimNova,Modification.VitalRegenArray[Life]*Behavior,SuperStimNova,Duration"/>点生命值。	Aumenta la velocidad de movimiento de Stone un <d ref="Behavior,SuperStimNova,Modification.AttackSpeedMultiplier *100-100"/>% durante <d ref="Behavior,SuperStimNova,Duration"/> segundos. Cura a Stone por <d ref="Behavior,SuperStimNova,Modification.VitalRegenArray[Life]*Behavior,SuperStimNova,Duration"/> de vida durante el transcurso del efecto.
重型攻击机甲。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Meca de asalto pesado.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>
训练畸变体。	Entrena una Aberración.
训练被感染的陆战队员。	Entrena un Marine infestado.
训练被感染的医疗兵。	Entrena una Médica infestada.
训练被感染的人类。	Entrena un Terran infestado.
训练感染者。	Entrena un Infestador.
命令单位离开地铁。	Hace que las unidades salgan del subterráneo.
泰伦帝国元首。	Emperador del Dominio terran
折跃到达。	Transposicionar al planeta.
折跃出发。	Transposicionar fuera de órbita.
TBD	TBD
Already cast.	Ya hay actor.
Medium-high	Medio/Alto
+++我是UNN的凯特·洛克维尔+++夏普斯堡民众骚乱发生多起逮捕事件+++边缘星区一带传来多起发现异虫报告+++	+++ ESTAS SON LAS NOTICIAS DE LA UNN CON KATE LOCKWELL +++ LA AGITACIÓN CIVIL EN SHARPSBURGO PROVOCA VARIOS ARRESTOS +++ SE HAN DETECTADO ZERG CERCA DE MUNDOS COLONIALES PERIFÉRICOS +++
TVARG_Lockwell_01 Ticker Text	TVARG_Lockwell_01 Ticker Text
TVARG_Lockwell_02 Ticker Text	TVARG_Lockwell_02 Ticker Text
+++我是UNN的凯特·洛克维尔+++司法官格雷森批评瓦伦里安大帝+++新兴军事组织“人类保卫者”人数不断增长+++	+++ ESTAS SON LAS NOTICIAS DE LA UNN CON KATE LOCKWELL +++ EL MAGISTRADO GRAYSON CRITICA AL EMPERADOR VALERIAN +++ LA MILICIA DE LOS "DEFENSORES DEL HOMBRE" TIENE CADA VEZ MÁS VOLUNTARIOS+++
TVARG_Lockwell_03 Ticker Text	TVARG_Lockwell_03 Ticker Text
+++边缘星区已证实遭遇异虫袭击+++参议院就授权军事行动一事陷入僵局+++人类保卫者已对异虫展开军事打击+++	+++ ATAQUES ZERG CONFIRMADOS EN MUNDOS COLONIALES PERIFÉRICOS +++ EL SENADO EN UN CALLEJÓN SIN SALIDA PARA AUTORIZAR ACCIONES MILITARES +++ LOS DEFENSORES DEL HOMBRE TOMAN LAS ARMAS CONTRA LOS ZERG +++
TVNova01 Ticker Text	TVNova01 - Teletipo - Texto
+++我是UNN的凯特·洛克维尔+++ TYLR +9.18 GRFN +4.16 JRDN +3.04 +++ 夏普斯堡高速公路事故调查未决+++凯拉·维拉丝已从治疗中心出院+++	+++ ESTAS SON LAS NOTICIAS DE LA UNN CON KATE LOCKWELL +++ TYLR +9.18 GRFN +4.16 JRDN +3.04 +++ INVESTIGACIÓN PENDIENTE POR EL DESASTRE DE LA AUTOVÍA SHARPSBURGO +++ KYLA VELASSI DEJA EL CENTRO DE TRATAMIENTO +++
诺娃剧情素材03	Recursos de la historia de Nova - 03
EMP搜索	PEM Buscar
DOM Snipe Combat Beam Dummy	DdH - Francotirar - Combate - Rayo - Simulación
FighterHangerRecall	FighterHangerRecall
HellbatLeapImpactSet	HellbatLeapImpactSet
HellbatLeapStun	HellbatLeapStun
HellbatLeapStunSearch	HellbatLeapStunSearch
Magrail Munitions	Municiones de riel magnético
人控炮塔	Torreta ocupada
Cloaking Field Search	Campo de camuflaje - Buscar
NovaXThosFighterHeight	NovaXThosFighterHeight
NovaXThosFighterHeightRB	NovaXThosFighterHeightRB
NovaXThosFighterHeightStartSet	NovaXThosFighterHeightStartSet
NovaXThosFighterHeightTransation	NovaXThosFighterHeightTransation
NovaXanthosRepairModeExitDelay	NovaXanthosRepairModeExitDelay
NovaXanthosTurretUncover	NovaXanthosTurretUncover
Remove Move Order	Remove Move Order
Scientist Scared Flee Dummy Damage	Scientist Scared Flee Dummy Damage
Scientist Scared Search	Scientist Scared Search
Scientist Scared Search Impact	Scientist Scared Search Impact
Super Stimpack Marauder Hellbat MU	Super Stimpack Marauder Hellbat MU
[PH] Can't target while Stone is shielded	No se puede seleccionar como objetivo cuando Stone está protegido
RotatingTurretRotateSCCWCycle	RotatingTurretRotateSCCWCycle
赞托斯火焰炮塔	Torreta flamígera del Janto
在星港的科技实验室中研究强化弹道	Investigar Balística avanzada en el Tecnolab del Puerto estelar
在星港的科技实验室中研发高储量燃油罐	Investiga tanques de combustible de alta capacidad en el Tecnolab del Puerto estelar
该幽灵军校中无聚变弹头	Ningún Misil nuclear en esta Academia de Fantasmas
9号侦测单位	Detector9
正在建造	Edificación
人类剧情	Historia terran
异虫DNA样本	Muestra de ADN zerg
Banshee Bombing Run	Banshee - Bombardeo - Huída
爆炸装置	Maquinaria defectuosa
沙滩女郎	Aficionada a la playa
沙滩小子	Aficionado a la playa
Capped Terrazine Emitter	Emisor de terracino restringido
货物卡车	Camión de carga
Collapsing Building NE	Edificación en ruinas - NE
Collapsing Building NE Collapsed	Edificación en ruinas - NE - Derrumbada
Collapsing Building NW	Edificación en ruinas - NO
Collapsing Building NW Collapsed	Edificación en ruinas - NO - Derrumbada
Collapsing Building SE	Edificación en ruinas - SE
Collapsing Building SE Collapsed	Edificación en ruinas - SE - Derrumbada
Collapsing Building SW	Edificación en ruinas - SO
Collapsing Building SW Collapsed	Edificación en ruinas - SO - Derrumbada
Compound Sewers Door Thin E	Alcantarillas del complejo - Puerta - Delgada - E
Compound Sewers Door Thin E Lowered	Alcantarillas del complejo - Puerta - Delgada - E - Cerrada
Compound Sewers Door Thin N	Alcantarillas del complejo - Puerta - Delgada - N
Compound Sewers Door Thin NE	Alcantarillas del complejo - Puerta - Delgada - NE
Compound Sewers Door Thin NE Lowered	Alcantarillas del complejo - Puerta - Delgada - NE - Cerrada
Compound Sewers Door Thin N Lowered	Alcantarillas del complejo - Puerta - Delgada - N - Cerrada
Compound Sewers Door Thin NW	Alcantarillas del complejo - Puerta - Delgada - NO
Compound Sewers Door Thin NW Lowered	Alcantarillas del complejo - Puerta - Delgada - NO - Cerrada
Compound Sewers Door Wide E	Alcantarillas del complejo - Puerta - Ancha - E
Compound Sewers Door Wide E Lowered	Alcantarillas del complejo - Puerta - Ancha - E - Cerrada
Compound Sewers Door Wide N	Alcantarillas del complejo - Puerta - Ancha - N
Compound Sewers Door Wide NE	Alcantarillas del complejo - Puerta - Ancha - NE
Compound Sewers Door Wide NE Lowered	Alcantarillas del complejo - Puerta - Ancha - NE - Cerrada
Compound Sewers Door Wide N Lowered	Alcantarillas del complejo - Puerta - Ancha - N - Cerrada
Compound Sewers Door Wide NW	Alcantarillas del complejo - Puerta - Ancha - NO
Compound Sewers Door Wide NW Lowered	Alcantarillas del complejo - Puerta - Ancha - NO - Cerrada
通风孔	Ventilación
巡航机车	Moto deslizadora
恢复站	Terminal de recuperación
恢复剂	Carga de restauración
实验室大门	Puerta de laboratorio
科学家	Científico
部署蜘蛛雷飞弹	Desplegar Minas araña - Misil
停靠的戈尔贡	Gorgóneo de hangar atracado
进坞的戈尔贡	Gorgóneo en dique seco
埃瑟卡罗度假区	Complejo Elsecaro
埃瑟卡罗体育场	Estadio Elsecaro
火焰炮塔	Torreta flamígera
火焰炮塔 - 父级	Torreta flamígera - Principal
火焰炮塔 目标	Torreta flamígera - Objetivo
火焰炮塔 地面 父级	Torreta flamígera - Subterráneo - Principal
漂浮的地嗪发射器	Emisor de terracino cargado
戴维斯将军	General Davis
机枪炮台	Torreta armada
治疗无人机释放	Dron de curación - Liberar
悬浮恶火	Demonio aéreo
悬浮攻城坦克	Tanque de asedio flotante
感染脓包	Pústula de infestación
Invisible Previewer Missile	Misil previsor invisible
不可见目标 虚拟建筑	Invisible - Objetivo - Simulación - Estructura
强尼·里维斯	JonnyRivers
八爪巨蜉	Pteragantua
全地图声呐	Sonar global
瓦多纳勇气号	Valor de Vardona
精英卫队	Guardia de élite
小型虚空辉光舰	Minimantarraya del Vacío
母舰阴影	Sombra de Nave nodriza
无形的微缩地图提示助手	Ping invisible - Ayudante
侦测无人机	Drones sensores
NovaBattlecruiserMachineGunMissile	NovaBattlecruiserMachineGunMissile
破碎的石堆	Escombros destruidos
无人机操作员	Operador de dron
NovaHyperionATALaserBattery	NovaHyperionATALaserBattery
NovaHyperionATSLaserBattery	NovaHyperionATSLaserBattery
搜索节点	Nodo de búsqueda
科研站	Complejo científico
Griffin Firing LMWeapon	Grifonte - Disparo de Arma LM
Griffin LMWeapon	Grifonte - Arma LM
声呐无人机	Dron sonar
斯通	Stone
NovaStoneRailgunSnipeWeapon	NovaStoneRailgunSnipeWeapon
绊索	Trampa láser
NovaXThosBroadsideCannonAGLMWeapon	NovaXThosBroadsideCannonAGLMWeapon
NovaXThosBroadsideCannonLMWeapon	NovaXThosBroadsideCannonLMWeapon
舷侧排炮	Cañón lateral
赞托斯战列巡航舰	Janto - Crucero de batalla
战斗机	Caza
NovaXThosFighterAGAttackMissile	NovaXThosFighterAGAttackMissile
战机库	Acceso de cazas
NovaXThosFighterWeapon	NovaXThosFighterWeapon
攻城炮塔	Torreta de asedio
防空炮塔	Torreta antiaérea
漩涡导弹巢	Batería de misiles Maelstrom
赞托斯	Janto
NovaXanthosAssaultGun	NovaXanthosAssaultGun
赞托斯巡航导弹	Janto - Crucero - Misil
磁轨炮	Cañón de riel
磁轨炮打击	Cañón de riel - Ataque
导弹巢	Batería de misiles
NovaXanthosYamatoWeapon	NovaXanthosYamatoWeapon
先知探照灯	Oráculo - Reflector dirigido
PHUnitNovaStoryAssets02	PHUnitNovaStoryAssets02
PHUnitNovaStoryAssets03	PHUnitNovaStoryAssets03
满能量	Energía al máximo
医疗包	Botiquín
港口城体育场	Estadio de Ciudad Portuaria
磁轨炮塔释放	Torreta de cañón de riel - Liberar
旋转炮塔 主动 父级	Torreta giratoria activa - Principal
Rotating Turret Auto	Torreta giratoria - Automático
Rotating Turret Auto Target	Torreta giratoria - Automático - Objetivo
旋转炮塔 被动 父级	Torreta giratoria pasiva - Principal
旋转炮塔 目标	Torreta giratoria - Objetivo
SMX3Wrangler	SMX3Wrangler
SMX3_Cutscene_MP01_010_MainSet00	SMX3_Cutscene_MP01_010_MainSet00
SMX3_Cutscene_MP01_010_MainSet01	SMX3_Cutscene_MP01_010_MainSet01
SMX3_Cutscene_MP01_010_MainSet02	SMX3_Cutscene_MP01_010_MainSet02
SMX3_Cutscene_MP01_010_MainSet03	SMX3_Cutscene_MP01_010_MainSet03
SMX3_Cutscene_MP01_010_MainSet04	SMX3_Cutscene_MP01_010_MainSet04
SMX3_Cutscene_MP01_010_MainSet05	SMX3_Cutscene_MP01_010_MainSet05
SMX3_Cutscene_MP01_010_MainSet06	SMX3_Cutscene_MP01_010_MainSet06
SMX3_Cutscene_MP01_010_MainSet07	SMX3_Cutscene_MP01_010_MainSet07
SMX3_Cutscene_MP01_010_MainSet08	SMX3_Cutscene_MP01_010_MainSet08
SMX3_Cutscene_MP01_010_MainSet09	SMX3_Cutscene_MP01_010_MainSet09
SMX3_Cutscene_MP01_010_MainSet10	SMX3_Cutscene_MP01_010_MainSet10
SMX3_Cutscene_MP01_010_MainSet11	SMX3_Cutscene_MP01_010_MainSet11
SMX3_Cutscene_MP01_010_MainSet12	SMX3_Cutscene_MP01_010_MainSet12
SMX3_Cutscene_MP01_010_MainSet13	SMX3_Cutscene_MP01_010_MainSet13
SMX3_Cutscene_MP01_010_MainSet14	SMX3_Cutscene_MP01_010_MainSet14
SMX3_Cutscene_MP01_010_MainSet15	SMX3_Cutscene_MP01_010_MainSet15
SMX3_Cutscene_MP01_010_MainSet16	SMX3_Cutscene_MP01_010_MainSet16
SMX3_Cutscene_MP01_010_MainSet17	SMX3_Cutscene_MP01_010_MainSet17
SMX3_Cutscene_MP01_010_MainSet18	SMX3_Cutscene_MP01_010_MainSet18
SMX3_Cutscene_MP01_010_MainSet19	SMX3_Cutscene_MP01_010_MainSet19
SMX3_Cutscene_MP01_010_WranglerRoom00	SMX3_Cutscene_MP01_010_WranglerRoom00
