非晶态装甲云	무정형 방어구름
被载入至萨尔纳加虚空阵列船的单位可以卸载至任意其它一处萨尔纳加虚空阵列船所在位置。	젤나가 공허 전송기로 들어간 유닛은 다른 아무 젤나가 공허 전송기로 나올 수 있습니다.
将萨尔纳加虚空阵列船转回飞行模式，使其可以移动。	젤나가 공허 전송기를 비행 모드로 되돌려, 이동할 수 있게 합니다.
将所有单位卸载至当前位置。	모든 유닛을 현재 위치에 내보냅니다.
命令萨尔纳加虚空阵列船变形成虫洞模式，使其可以在不同的虚空阵列船之间传输单位。该单位在该模式下无法移动。	젤나가 공허 전송기를 웜홀 모드로 전환해 젤나가 공허 전송기 사이로 유닛을 이동시킬 수 있게 합니다. 이 모드에서는 이동할 수 없습니다.
机械干扰型单位。可以使用净化新星造成大量范围伤害。<n/><n/><c val="ffff8a">可以对地。</c>	로봇 분열 유닛입니다. 정화 폭발을 사용하여 큰 범위 피해를 줄 수 있습니다.<n/><n/><c val="ffff8a">지상 유닛 공격 가능</c>
萨尔纳加灵能体。每次攻击有一定几率触发微型灵能风暴。<n/><n/><c val="ffff8a">可以对空和对地。</c>	사이오닉 능력을 사용하는 젤나가 병사입니다. 공격할 때마다 일정 확률로 소규모 사이오닉 에너지의 폭풍을 일으킵니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>
充能水晶每次攻击有<d ref="Effect,ZeratulXelNagaChargedCrystalPsiStormPersistent,Chance*100"/>%几率施放一次微型灵能风暴，在<d ref="Effect,ZeratulXelNagaChargedCrystalPsiStormPersistent,PeriodCount*Effect,ZeratulXelNagaChargedCrystalPsiStormPersistent,PeriodicPeriodArray[0]+Behavior,ZeratulXelNagaChargedCrystalPsiStorm,Duration" precision ="0"/>秒内对一个小范围内的所有敌方单位造成<d ref="(Effect,ZeratulXelNagaChargedCrystalPsiStormPersistent,PeriodCount+2)*Effect,ZeratulXelNagaChargedCrystalPsiStormDamage,Amount"/>点伤害。	충전된 수정은 공격할 때마다 <d ref="Effect,ZeratulXelNagaChargedCrystalPsiStormPersistent,Chance*100"/>% 확률로 소규모 사이오닉 폭풍을 일으켜, <d ref="Effect,ZeratulXelNagaChargedCrystalPsiStormPersistent,PeriodCount*Effect,ZeratulXelNagaChargedCrystalPsiStormPersistent,PeriodicPeriodArray[0]+Behavior,ZeratulXelNagaChargedCrystalPsiStorm,Duration" precision ="0"/>초에 걸쳐 좁은 범위 내의 모든 적 유닛에 <d ref="(Effect,ZeratulXelNagaChargedCrystalPsiStormPersistent,PeriodCount+2)*Effect,ZeratulXelNagaChargedCrystalPsiStormDamage,Amount"/>의 피해를 줍니다.
体现着纯粹形体的终极萨尔纳加构造体，可以使用磅礴的灵能力量粉碎敌人。<n/><n/><c val="ffff8a">可以对空和对地。</c>	순수한 형체가 실체화된 궁극의 젤나가 피조물입니다. 막대한 사이오닉 능력으로 적을 압도합니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>
将精华化身周围一个大片区域内的敌人，转变成更低一级的进化形态。	정수의 화신 주위 넓은 범위 내의 모든 적 유닛을 진화의 하위 단계 형태로 변형시킵니다.
体现着纯粹精华的终极萨尔纳加构造体，可以操控友方和敌人的进化潜能。<n/><n/><c val="ffff8a">可以对空和对地。</c>	순수한 정수가 실체화된 궁극의 젤나가 피조물입니다. 아군과 적 유닛에 잠재된 진화의 힘을 조작합니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>
开始充能，<d ref="Abil,ZeratulXelNagaConstructPsiBlast,PrepTime[0]" precision="1"/>秒后对目标单位造成<d ref="Effect,ZeratulXelNagaConstructPsiBlastDamage,Amount"/>点伤害。	충전을 하고 <d ref="Abil,ZeratulXelNagaConstructPsiBlast,PrepTime[0]" precision="1"/>초 후에 대상 유닛에 <d ref="Effect,ZeratulXelNagaConstructPsiBlastDamage,Amount"/>의 피해를 줍니다.
创造一道灵能风暴，持续<d ref="Effect,ZeratulXelNagaConstructPsiStormPersistent,PeriodCount*Effect,ZeratulXelNagaConstructPsiStormPersistent,PeriodicPeriodArray[0]+Behavior,ZeratulXelNagaConstructPsiStorm,Duration" precision ="0"/>秒，对一大片目标区域内的所有敌人造成<d ref="(Effect,ZeratulXelNagaConstructPsiStormPersistent,PeriodCount+2)*Effect,ZeratulXelNagaConstructPsiStormDamage,Amount"/>点伤害。不会对友方单位造成伤害。	<d ref="Effect,ZeratulXelNagaConstructPsiStormPersistent,PeriodCount*Effect,ZeratulXelNagaConstructPsiStormPersistent,PeriodicPeriodArray[0]+Behavior,ZeratulXelNagaConstructPsiStorm,Duration" precision ="0"/>초 동안 지속되는 사이오닉 에너지 폭풍을 생성하여, 넓은 지역 내의 모든 적 유닛에 <d ref="(Effect,ZeratulXelNagaConstructPsiStormPersistent,PeriodCount+2)*Effect,ZeratulXelNagaConstructPsiStormDamage,Amount"/>의 피해를 줍니다. 아군 유닛에는 피해를 주지 않습니다.
佐拉亚持续攻击时，她的武器射程会逐步提高。	조라야가 공격을 계속하면 무기의 사거리가 증가합니다.
升级所有异虫地面单位的攻击。	모든 저그 지상 유닛의 공격력을 업그레이드합니다.
进一步升级所有异虫地面单位的攻击。	모든 저그 지상 유닛의 공격력을 추가로 업그레이드합니다.
最大化升级所有异虫地面单位的攻击。	모든 저그 지상 유닛의 공격력을 극대화합니다.
跳虫的攻击会使目标的护甲降低到0，持续<d ref="Behavior,ZerglingArmorShredTarget,Duration"/>秒。	저글링의 공격이 <d ref="Behavior,ZerglingArmorShredTarget,Duration"/>초 동안 대상의 방어력을 0으로 감소시킵니다.
在潜地时仍能全速移动。潜地时的恢复速度提高100%。	잠복했을 때 이동 속도가 감소하지 않습니다. 잠복 시 재생률이 100% 증가합니다.
外科手术式英雄战斗舰。攻击充能后可获得额外射程，并对重甲目标造成额外伤害。<n/><n/><c val="ffff8a">可以对空和对地。</c>	영웅 정밀 타격기입니다. 공격을 계속할수록 사거리가 늘어나고 중장갑 대상에는 추가 피해를 줍니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>
提高<c val="ffff8a">王虫</c>和<c val="ffff8a">眼虫</c>的移动速度。	<c val="ffff8a">대군주</c>와 <c val="ffff8a">감시군주</c>의 이동 속도가 증가합니다.
已站起	뿌리 들기
飞行	비행
同被感染的兵营组合	감염된 병영에 부착
同被感染的重工厂组合	감염된 군수공장에 부착
已扎根	뿌리 고정
同被感染的星港组合	감염된 우주공항에 부착
保护者 - 菲尼克斯	보전기 - 피닉스
激励者 - 凯拉克斯	동력기 - 카락스
塔达林	탈다림
吉娜拉	지나라
可由任何地面单位拾取，获得100点晶体矿。	지상 유닛으로 수집하여 광물 100을 획득하십시오.
330mm Barrage Cannons Stun	330mm 탄막 포 기절
ACPirateBombingRunCU	ACPirateBombingRunCU
ACPirateBombingRunSet	ACPirateBombingRunSet
ACPirate Capital Ship Left	ACPirate Capital Ship Left
ACPirate Capital Ship Left Random	ACPirate Capital Ship Left Random
ACPirate Capital Ship Right	ACPirate Capital Ship Right
ACPirate Capital Ship Right Random	ACPirate Capital Ship Right Random
ACPirate Lightning Storm	ACPirate Lightning Storm
ACPirate Yamato	ACPirate Yamato
AdvancedConstructionAuto	AdvancedConstructionAuto
AdvancedConstructionAutoOrder	AdvancedConstructionAutoOrder
AlarakACDeadlyChargeResetCD	AlarakACDeadlyChargeResetCD
Alarak Bane Blades Hold Position	Alarak Bane Blades Hold Position
AlarakEmpowerMe	AlarakEmpowerMe
Psionic Lightning Set	Psionic Lightning Set
Apply Chrono Boost Target	시간 증폭 대상 적용
AscendantSacrificeSupplicantRemoveShield	AscendantSacrificeSupplicantRemoveShield
Banshee Airstrike	밴시 공습
Biomass Buff10 To100	Biomass Buff10 To100
Biomass Buff1 To10	Biomass Buff1 To10
Biomass Pickup Full	Biomass Pickup Full
Biomass Timed Life	Biomass Timed Life
BoombotSuicideIfNotBurrowed	BoombotSuicideIfNotBurrowed
Broken Solar Forge Issue Order	부서진 태양 제련소 지시 전달
COOPHeroJustRevive	COOPHeroJustRevive
COOPTerrazineTankTimeoutDeath	COOPTerrazineTankTimeoutDeath
CancelDehakaLearn	CancelDehakaLearn
CancelDehakaLearnChitinousPlating	CancelDehakaLearnChitinousPlating
CancelDehakaLearnDeadlyReach	CancelDehakaLearnDeadlyReach
CancelDehakaLearnDevour	CancelDehakaLearnDevour
CancelDehakaLearnIntimidatingRoar	CancelDehakaLearnIntimidatingRoar
CancelDehakaLearnKeenSenses	CancelDehakaLearnKeenSenses
CancelDehakaLearnLeap	CancelDehakaLearnLeap
CancelDehakaLearnPrimalRegen	CancelDehakaLearnPrimalRegen
CancelDehakaLearnScorchingBreath	CancelDehakaLearnScorchingBreath
CancelFleetwideJump	CancelFleetwideJump
Cancel Order Advanced Construction Auto	Cancel Order Advanced Construction Auto
Carrier Aiur Interceptor	Carrier Aiur Interceptor
ChargeBusterCooldown	ChargeBusterCooldown
Choke Prevent Apply Behavior	Choke Prevent Apply Behavior
ChronoBoostTargetRB	ChronoBoostTargetRB
CommandCenterIsMorphing AB	CommandCenterIsMorphing AB
CommandCenterIsMorphing RB	CommandCenterIsMorphing RB
CommanderPrestigeArtanisOrbitalStrikeShieldOverchargeTargetedSearch	CommanderPrestigeArtanisOrbitalStrikeShieldOverchargeTargetedSearch
CommanderPrestigeKaraxStructuresChronoBoostTarget	CommanderPrestigeKaraxStructuresChronoBoostTarget
CommanderPrestigeZeratulTornadoesImpactSet	CommanderPrestigeZeratulTornadoesImpactSet
复制朝向	방향 복사
定身波英雄减速	구속의 파동 영웅 느려짐
CybrosEscortTowerGroundMissileImpactSearch	CybrosEscortTowerGroundMissileImpactSearch
Cyclone Lock On Air Damage	Cyclone Lock On Air Damage
Dark Pylon Cloak Initial CP	암흑 수정탑 은폐 초기 CP
Dark Pylon Cloak Initial Search	암흑 수정탑 은폐 초기 탐색
Dark Templar Recalling	Dark Templar Recalling
暗影冲刺	그림자 질주
Death Recall Remove Debuff	Death Recall Remove Debuff
DefensiveMatrixTargetDroneAB	DefensiveMatrixTargetDroneAB
DefensiveMatrixTargetDroneABDummy	DefensiveMatrixTargetDroneABDummy
DefensiveMatrixTargetDroneMU	DefensiveMatrixTargetDroneMU
DefensiveMatrixTargetDroneRBDummy	DefensiveMatrixTargetDroneRBDummy
DefensiveMatrixTargetDroneSet	DefensiveMatrixTargetDroneSet
DefensiveMatrixTerranzineHarvester	DefensiveMatrixTerranzineHarvester
Dehaka Consume Launch Target Set	Dehaka Consume Launch Target Set
Dehaka Consume Launch Target Visual	Dehaka Consume Launch Target Visual
Dehaka Consume Launch Target Visual Impact	Dehaka Consume Launch Target Visual Impact
Dehaka Consume Nullify Missile	Dehaka Consume Nullify Missile
DehakaConsumeVisualMissileCopyTargetFacing	DehakaConsumeVisualMissileCopyTargetFacing
DehakaCoopReviveCocoonCreated	DehakaCoopReviveCocoonCreated
DehakaCreeperFlyingAirSwoopLM	DehakaCreeperFlyingAirSwoopLM
DehakaGeneGuardianMorphSet	DehakaGeneGuardianMorphSet
DehakaGeneLifeLeechDummy	DehakaGeneLifeLeechDummy
DehakaGeneRavasaurMorphSet (Unnamed) Copy	DehakaGeneRavasaurMorphSet (Unnamed) Copy
DehakaMaxLifeAmountPerEssenceDummy	DehakaMaxLifeAmountPerEssenceDummy
DehakaMendingAuraTargetAB	DehakaMendingAuraTargetAB
DehakaNydusDestroyerTimedNoFoodBeamCP	DehakaNydusDestroyerTimedNoFoodBeamCP
DehakaNydusDestroyerTimedNoFoodBeamCooldown	DehakaNydusDestroyerTimedNoFoodBeamCooldown
DehakaNydusDestroyerTimedNoFoodBeamDamage	DehakaNydusDestroyerTimedNoFoodBeamDamage
DehakaNydusDestroyerTimedNoFoodBeamSet	DehakaNydusDestroyerTimedNoFoodBeamSet
DehakaNydusDestroyerTimedNoFoodBeamTurretFace	DehakaNydusDestroyerTimedNoFoodBeamTurretFace
DehakaNydusDestroyerTimedNoFoodDamage	DehakaNydusDestroyerTimedNoFoodDamage
DehakaNydusDestroyerTimedNoFoodLaunchMissile	DehakaNydusDestroyerTimedNoFoodLaunchMissile
Dehaka Town Hall Base Weapon	Dehaka Town Hall Base Weapon
Dehaka Town Hall Base Weapon Damage	Dehaka Town Hall Base Weapon Damage
DehakaUltraliskCrashingChargeLaunchOffset	DehakaUltraliskCrashingChargeLaunchOffset
DehakaUltraliskCrashingChargeOffset	DehakaUltraliskCrashingChargeOffset
Diffusion Dummy Impact	확산 모형 충격
Drakken Laser Drill Nuke Aim Complete Dummy	Drakken Laser Drill Nuke Aim Complete Dummy
Drakken Laser Drill Nuke Initial Set	드라켄 레이저 천공기 핵 초기 설정
Drakken Laser Drill Spotter Call For Help	Drakken Laser Drill Spotter Call For Help
假人	허수아비
Event_TychusHeroCreate	Event_TychusHeroCreate
Event_TychusHeroDeath	Event_TychusHeroDeath
Event_TychusHeroRevive	Event_TychusHeroRevive
ExpansionRockTriggerDummy	ExpansionRockTriggerDummy
Drop Train Set	기차 낙하 설정
FenixArbiterCloakingFieldEnergyDrain	FenixArbiterCloakingFieldEnergyDrain
FenixArbiterCloakingFieldPeriodicSet	FenixArbiterCloakingFieldPeriodicSet
FenixArbiterWeaponDamage	FenixArbiterWeaponDamage
FenixArbiterWeaponLM	FenixArbiterWeaponLM
FenixDragoonAirBombCP	FenixDragoonAirBombCP
Fenix Dragoon Battle Shout AB	Fenix Dragoon Battle Shout AB
Fenix Dragoon Battle Shout Iterate Transport	Fenix Dragoon Battle Shout Iterate Transport
Fenix Dragoon Battle Shout Search	Fenix Dragoon Battle Shout Search
Fenix Dragoon Battle Shout Set	Fenix Dragoon Battle Shout Set
FenixDragoonChargedBlastDamage	FenixDragoonChargedBlastDamage
FenixDragoonChargedBlastLM	FenixDragoonChargedBlastLM
FenixDragoonDamage	FenixDragoonDamage
FenixDragoonLM	FenixDragoonLM
Fenix Purification Nova LM	Fenix Purification Nova LM
Fenix Purification Nova Search	Fenix Purification Nova Search
FenixSentryPhotonOverchargeAB	FenixSentryPhotonOverchargeAB
Fenix Suicide	Fenix Suicide
FenixTaldarinImmortalPhaseDisruptors	FenixTaldarinImmortalPhaseDisruptors
FenixTalisShadeDamage	FenixTalisShadeDamage
FenixTalisShadeLM	FenixTalisShadeLM
Warbringer Thermal Lances	Warbringer Thermal Lances
Warbringer Thermal Lances Damage Delay	Warbringer Thermal Lances Damage Delay
Warbringer Thermal Lances E	Warbringer Thermal Lances E
Warbringer Thermal Lances E Reverse	Warbringer Thermal Lances E Reverse
Warbringer Thermal Lances Forward	Warbringer Thermal Lances Forward
Warbringer Thermal Lances Friendly CP	Warbringer Thermal Lances Friendly CP
Warbringer Thermal Lances Friendly Damage	Warbringer Thermal Lances Friendly Damage
Warbringer Thermal Lances MU	Warbringer Thermal Lances MU
Warbringer Thermal Lances Reverse	Warbringer Thermal Lances Reverse
Fleetwide Jump Create Precursor	Fleetwide Jump Create Precursor
Fleetwide Jump Teleport	Fleetwide Jump Teleport
Fleetwide Jump Teleport AB	Fleetwide Jump Teleport AB
Fleetwide Jump Teleport In AB	Fleetwide Jump Teleport In AB
Fleetwide Jump Teleport Out AB	Fleetwide Jump Teleport Out AB
FleetwideJumpTeleportOutABSet (Unnamed)	FleetwideJumpTeleportOutABSet (Unnamed)
FleetwideJumpTeleportOutTargetAB (Unnamed)	FleetwideJumpTeleportOutTargetAB (Unnamed)
Fleetwide Jump Teleport Set	Fleetwide Jump Teleport Set
GhostBlackOpsSpawnerCreateUnit	GhostBlackOpsSpawnerCreateUnit
GhostBlackOpsSpawnerCreateUnitFemale	GhostBlackOpsSpawnerCreateUnitFemale
GhostBlackOpsSpawnerSet	GhostBlackOpsSpawnerSet
Ghost_BlackOps Damage	Ghost_BlackOps Damage
GrantKillCreditDummy	GrantKillCreditDummy
HHBomberAreaBombDamageSwitch	HHBomberAreaBombDamageSwitch
HHMattUnitStatDown	HHMattUnitStatDown
HHMattUnitStatUp	HHMattUnitStatUp
HHMercStarportHangarLaunch	HHMercStarportHangarLaunch
HHMercStarportHangarLaunched	HHMercStarportHangarLaunched
HHMercStarportHangarRecall	HHMercStarportHangarRecall
HHMercStarportHangarReturn	HHMercStarportHangarReturn
HHMercStarportHangarShotInterceptor	HHMercStarportHangarShotInterceptor
HHRavenFakeWeapon	HHRavenFakeWeapon
HHRavenFakeWeaponSwitch	HHRavenFakeWeaponSwitch
HHStarportDeathDummy	HHStarportDeathDummy
HHVikingInstantMorphOrder	HHVikingInstantMorphOrder
HHVikingInstantMorphSet	HHVikingInstantMorphSet
HotSHunterTimedLife	HotSHunterTimedLife
HunterAttackTarget	HunterAttackTarget
Hunter Launch Disable Target	Hunter Launch Disable Target
Claws (Damage)	발톱 (피해)
Infested Civilian Volatile Spawn	감염된 민간인 폭발성 생성
Infested Siege Tank Hunter Volatile Burst CU	Infested Siege Tank Hunter Volatile Burst CU
Infested Siege Tank Hunter Volatile Burst Creation Set	Infested Siege Tank Hunter Volatile Burst Creation Set
Infested Siege Tank Hunter Volatile Burst Land	Infested Siege Tank Hunter Volatile Burst Land
Infested Siege Tank Hunter Volatile Burst Launch Missile	Infested Siege Tank Hunter Volatile Burst Launch Missile
InfestedSiegeTankImpalerTentacleLM	InfestedSiegeTankImpalerTentacleLM
InfestedSiegeTankImpalerTentacleU	InfestedSiegeTankImpalerTentacleU
Infested Siege Tank Pause Secondary	Infested Siege Tank Pause Secondary
Infested Siege Tank Secondary Tentacle Search	Infested Siege Tank Secondary Tentacle Search
Infested Siege Tank Secondary Tentacle Set	Infested Siege Tank Secondary Tentacle Set
Instant Morph Self	Instant Morph Self
InterceptorAiurLaunchUpgradedPersistent	InterceptorAiurLaunchUpgradedPersistent
Karax Mapwide Chrono Behavior Swap	카락스 맵 전역 시간 동작 교체
手雷机炮	초토화 포탑
Devastation Turret	Devastation Turret
修复	수리
KerriganFuryExpired	KerriganFuryExpired
Laser Drill Tripod Coop Final Persistent End	레이저 천공기 삼각대 협동전 최종 지속 종료
Laser Drill Tripod Overload	Laser Drill Tripod Overload
Lava Burst Initial	Lava Burst Initial
LavaDamageCoopApply	LavaDamageCoopApply
跃击伤害	도약 피해
跃击击晕	도약 기절
Marine Black Ops Spawner Create Unit	Marine Black Ops Spawner Create Unit
Marine Black Ops Spawner Set	Marine Black Ops Spawner Set
MarineSuperStim	MarineSuperStim
精通 阿塔尼斯 守护者之壳治疗	마스터 아르타니스 수호 보호막 치료
MasteryArtanisSoAPowerFieldHaste_Target	MasteryArtanisSoAPowerFieldHaste_Target
