非晶态装甲云	Аморфное бронеоблако
耗尽目标区域内所有单位的全部能量，并使其在10秒内无法恢复能量。	Обнуляет запас энергии у боевых единиц, находящихся в указанной области, и препятствует восстановлению энергии в течение 10 сек.
自动化防御建筑。</n></n><c val="#ColorAttackInfo">可以对空和对地。</c><n/><c val="FFE303">侦测单位</c>	Автоматизированное оборонительное сооружение.</n></n><c val="#ColorAttackInfo">Атакует наземные и воздушные цели.</c><n/><c val="FFE303">Детектор</c>
治疗周围的生物和机械单位。<n/><d ref="Behavior,HealingDroneTimedLife,Duration"/>秒后时间耗尽。	Лечит находящиеся поблизости органические боевые единицы и ремонтирует механические.<n/>Функционирует в течение <d ref="Behavior,HealingDroneTimedLife,Duration"/> сек.
将恶蝠朝附近的敌方地面单位发射过去。接触敌人时会将敌人短暂击晕。	«Геллитроны» прыгают к находящимся поблизости вражеским боевым единицам и на некоторое время оглушают их в момент приземления.
通过空投对目标区域进行聚变打击。聚变打击需要<d time="5"/>才能生效，但可对大范围内的目标造成最多<d ref="Effect,HeroNukeDamage,Amount"/> (+<d ref="Effect,HeroNukeDamage,AttributeBonus[Structure]"/>对建筑)点伤害。	Вызов ядерного удара по выбранной области. С момента запуска ракеты до взрыва проходит <d time="5"/> Ядерный взрыв наносит до <d ref="Effect,HeroNukeDamage,Amount"/> ед. урона всем целям в большом радиусе действия (+<d ref="Effect,HeroNukeDamage,AttributeBonus[Structure]"/> ед. урона строениям).
恶蝠可以飞悬经过地面单位。<n/>恶蝠可以在移动时攻击	«Геллитроны» могут перелетать через наземные боевые единицы.<n/>Также им доступна возможность атаковать в движении.
可以在移动时攻击	Может атаковать в движении.
可以在攻城模式下缓慢移动	Может медленно передвигаться в осадном режиме.
阻挡了建筑入口的异虫感染物。	Очаг заражения зергов, мешающий войти в строение.
允许劫掠者可以在没有附属科技实验室的兵营中进行训练。	Позволяет обучать мародеров в казармах без пристроенной лаборатории.
允许攻城坦克可以在没有附属科技实验室的重工厂中进行建造。	Позволяет производить осадные танки на заводе без пристроенной лаборатории.
解放者在防卫模式下的射程提高4。	Увеличивают дальность атаки «Освободителей» в защитном режиме на 4.
命令单位进入地铁。	Завести войска в метро.
使飓风的武器锁定目标单位，对地面单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害(+400 vs. 重甲)。对空中单位在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害（+400 vs. 重甲）。开火时可以移动。如果目标离开射程后则取消。	«Циклон» сосредотачивает огонь на цели, нанося <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> ед. урона в течение <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> сек. наземным боевым единицам (+400 ед. урона бронированным целям) и <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> ед. урона в течение <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> сек. воздушным боевым единицам (+400 ед. урона бронированным целям). Можно атаковать, не прерывая движение. Действие прекращается, когда цель выходит за пределы досягаемости.
[PH] Deals <d ref="Effect,MagrailMunitionsDamage,Amount"/> damage to target enemy unit, only fire while the unit is attacking air target.	Наносит <d ref="Effect,MagrailMunitionsDamage,Amount"/> ед. урона вражеской боевой единице. Можно использовать только при атаке воздушной цели.
