非晶态装甲云	無定型防護雲
可在近距离造成大量伤害的近战武器。使诺娃可以向前疾冲，对沿途的所有敌人造成伤害。	可對近距離目標造成大量傷害的近戰武器。也能讓諾娃向前衝鋒，對位在她路徑上的所有敵人造成傷害。
如果诺娃遭受致命伤害，原型折跃科技会将她传送回最近的指挥中心，并使其进入静滞状态60秒，直至其回满生命值。	如果諾娃受到致命傷害，實驗性躍傳科技會將她傳送回最靠近的指揮中心，讓她進入靜滯狀態60秒並且完全恢復她的生命值。
复活诺娃	諾娃恢復中
诺娃的C-20A霰弹步枪可以从远距离狙击敌人，造成<d ref="Effect,NovaWeaponCanisterRifleSnipe,Amount"/>点伤害。	諾娃的C-20A步槍可讓她從遠距離使用狙擊，對敵方單位造成<d ref="Effect,NovaWeaponCanisterRifleSnipe,Amount"/>點傷害。
由于拥有从莫比斯军团研究中得来的实验性星灵折跃科技，诺娃在战斗中不会阵亡。如果诺娃遭受致命伤害，她会被折跃回基地并进入静滞状态60秒，同时该设备会再次充能。	多虧之前從莫比斯部隊取得了他們正在研究的神族躍傳實驗科技，諾娃不會在戰場上死亡。如果諾娃受到致命傷害，她會躍傳回基地，在裝置充能時進入靜滯狀態60秒。
诺娃死亡	諾娃 - 死亡
脉冲手雷对目标区域内的敌方单位造成<d ref="Effect,NovaGadgetPulseGrenadesDamage,Amount"/>点伤害。使用它们可以对付大群的敌人。	脈衝手榴彈可對目標區域內的敵方單位造成<d ref="Effect,NovaGadgetPulseGrenadesDamage,Amount"/>點傷害。用它來殲滅一大群敵人。
空中监测飞行器，可以部署自动炮塔、修理无人机、定点防御无人机，对部队进行支援。	空中監視載具。可部署自動砲台、自動維修機和定點防禦無人機來支援部隊。
一名擅长且战且退的游击单位，可以跳跃悬崖，还能部署蜘蛛雷。	打帶跑突擊單位，可跳上或跳下山崖並且部署蜘蛛詭雷。
塔达林母舰只要有护盾投射器的保护，它就会对所有伤害免疫。你必须摧毁护盾投射器才能与母舰正面交锋。	只要有護盾投射器在保護塔達力姆聖母艦，聖母艦就不會受到任何傷害。必須先摧毀護盾投射器，才能傷害到聖母艦。
一台火力强、射程远的重型坦克。可以根据进攻或防御的需要，在机动和静止两种模式之间变形切换。	載有遠程大砲的重型坦克。能視需要在機動模式與定點模式之間切換，採取積極攻勢或是防禦基地。
该炸弹会自动追击进入射程范围内的敌人并引爆，造成大量范围性伤害。埋设的蜘蛛雷只能被敌方的<c val="FFE303">侦测单位</c>发现。	會追蹤進入射程的敵方部隊，然後爆炸並造成大量的範圍傷害。只有敵方<c val="FFE303">偵測單位</c>能發現遁地的蜘蛛詭雷。
你可以利用地铁隧道系统在城市间快速移动你的地面部队。	地鐵系統可讓你的部隊在城市兩地之間迅速移動。
地铁地道网络	地鐵系統
尤摩扬地嗪采集设备仍在运行中。必须在提取过程阶段保护好设备的安全。	尤摩捷態化氫萃取裝置還在運作。一定要在萃取過程中保護它不被敵方部隊破壞。
敌方幽灵携带有EMP弹。如果诺娃被其击中，她将在接下来的10秒内无法隐形。	敵方幽靈特務身上有電磁脈衝彈。如果諾娃被電磁脈衝彈擊中，接下來的10秒內她將無法匿蹤。
幸存的异虫巢群会在诺娃建立基地后发起反击。尽可能多地摧毁异虫建筑，削弱它们之后的进攻力度。	存活的蟲巢會在諾娃建立基地後展開反擊。盡量摧毀它們，降低之後會遭遇到的攻擊。
异虫活动	存活的蟲族
提示例子。	提示敘述範本。
提示名称样例	提示名稱範本
例子	樣本
新的对话	新對話
诺娃PH	諾娃PH
~NAME~ <s val="ObjectivePanelProgress_Terran">(剩余~CURRENT~艘)</s>	~NAME~ <s val="ObjectivePanelProgress_Terran">（還有~CURRENT~艘）</s>
~NAME~ <s val="ObjectivePanelProgress_Terran">(~CURRENT~/~GOAL~)</s>	~NAME~ <s val="ObjectivePanelProgress_Terran">(~CURRENT~/~GOAL~)</s>
~NAME~ <s val="ObjectivePanelProgress_Terran"></s>	~NAME~ <s val="ObjectivePanelProgress_Terran"></s>
过场动画	過場動畫
苏醒	覺醒
忠诚与效忠	忠誠與職責
遗失的记忆	失去的記憶
[PH] Nova03 Intro Cutscene	[PH]諾娃03開場動畫
人类保卫者	人類守護組織
[PH] Nova04 Part2	[PH] Nova04 Part2
高阶领主的交易	大領主的交換條件
[PH] Nova05 Travel	[PH] Nova05 Travel
追忆往事	過往的回憶
[PH] Nova06 Travel	[PH] Nova06 Travel
全都是骗子	騙子
[PH] Nova07 Intro	[PH] Nova07 Intro
继往开来	過往與未來
[PH] Nova08 Intro	[PH] Nova08 Intro
皇帝的审判	大帝的正義
[PH] Nova09 Intro	[PH] Nova09 Intro
联盟破裂	決裂的盟友
[PH] Nova09 Travel	[PH] Nova09 Travel
[PH] Nova Pack 3 Ending	[PH] Nova Pack 3 Ending
决绝	最終決定
Death Fleet Attacks! (Nova04)	Death Fleet Attacks! (Nova04)
TEST_AudioTest_15min_FadesAndBookmarks	TEST_AudioTest_15min_FadesAndBookmarks
TEST_AudioTest_15min_FadesAndBookmarksWAV	TEST_AudioTest_15min_FadesAndBookmarksWAV
TEST_AudioTest_15min_FadesNoBookmarks	TEST_AudioTest_15min_FadesNoBookmarks
TEST_AudioTest_15min_HeadTailFadesNoBookmarks	TEST_AudioTest_15min_HeadTailFadesNoBookmarks
TEST_AudioTest_15min_NoFadesNoBookmarks	TEST_AudioTest_15min_NoFadesNoBookmarks
TEST_AudioTest_15min_NoFadesNoBookmarksWAV	TEST_AudioTest_15min_NoFadesNoBookmarksWAV
TEST_Audio_MasterSoundNode	TEST_Audio_MasterSoundNode
TEST_Audio_NoMasterSoundNode	TEST_Audio_NoMasterSoundNode
TEST_AudioTest_JumpCuts	TEST_AudioTest_JumpCuts
TEST_AudioTest	TEST_AudioTest
TEST_AudioTest_Short	TEST_AudioTest_Short
TEST_AudioTest_Short_With1secBookmarks	TEST_AudioTest_Short_With1secBookmarks
TEST_AudioTest_Short_WithBookmarks	TEST_AudioTest_Short_WithBookmarks
TEST_AudioTest_SmokeTest	TEST_AudioTest_SmokeTest
zTerran -	zTerran -
几小时后……	數小時後...
伯利亚，帝国军基地	自治聯盟基地，波瑞亞
后来……	不久之後...
狮鹫号舰桥	獅鷲艦艦橋
戴维斯将军的大本营	戴維斯將軍的總部
瓦多纳	瓦多納
17:00 - 船上时间	17:00 -- 艦上時間
帝国领地	自治聯盟空域
<Placeholder Timestamp>	<Placeholder Timestamp>
战役通用触发器	劇情戰役共通觸發器
战役地图	CampaignMap
战役任务目标	CampaignObjective
保存部队科技数据集文件 = ~A~	保護軍事科技資料庫 = ~A~
数据错误：尝试将~A~的进度设置为~B~ (最大为~C~)	資料錯誤：試圖將進度~A~設成~B~（最大值為~C~）
正在将~A~的存档进度设置为~B~	將檔案庫進度~A~設為~B~
正在转变为：~A~	轉換為：~A~
位置设为~A~	地點設為~A~
~A~任务~B~如果~C~	~A~任務如果~C~的話則~B~
正在为任务~A~读取任务区段。	正在載入任務~A~的任務區段
数据错误：尝试将~A~的进度设置为~B~	資料錯誤：試圖將進度~A~設成~B~
应用科技	啟用科技
无地图	沒有地圖
<sp/>	<sp/>
无法找到数据集文件，设置为默认	找不到任何資料，重設為預設的設定
载入任务区段	載入任務區段
解锁	解開
错误：战役数据集名称未设置！	錯誤：尚未設定戰役資料名稱！
吞噬DNA (击退)	吸收DNA（擊退）
艾瑞斯神庙 大门	艾里斯神殿大門
艾瑞斯神庙 大门 关闭	關閉艾里斯神殿大門
艾瑞斯神庙 大门 朝下	降下艾里斯神殿大門
艾瑞斯神庙 大门 打开	開啟艾里斯神殿大門
艾瑞斯神庙 大门 朝上	升起艾里斯神殿大門
瓦斯气罐采集	瓦斯容器罐 - 收集
闪电射击	閃電發射器
闪电射击 虚拟	閃電發射器 - 模型
马拉什引导	瑪拉許導引
序章裂隙突破	序章 - 裂隙噴發
序章裂隙未突破	序章 - 裂隙未噴發
序章水晶塔过载攻击	序章 - 水晶塔超載 - 攻擊
序章水晶塔过载停止	序章 - 水晶塔超載 - 停止
序章虚空护甲	序章 - 虛空護甲
暗影飞弹	暗影飛彈
虚空触媒变形至第2阶段	虛空催化器 - 轉換至第2階段
虚空触媒变形至第3阶段	虛空催化器 - 轉換至第3階段
分裂	幽能分身
湮灭低语	滅絕之呢喃
序章部队类别	PrologueArmyCategory
吞噬DNA 击退	吸收 DNA - 擊退
瓦斯气罐采集施法者	瓦斯容器罐 - 收集 - 施放者
瓦斯气罐采集搜索	瓦斯容器罐 - 收集 - 搜尋
瓦斯气罐采集目标	瓦斯容器罐 - 收集 - 目標
闪电射击者灵能风暴	閃電發射器 - 幽能風暴
序章 已利用的能量	序章 - 汲取的能量
序章 利用中的能量	序章 - 正在汲取能量
序章 隐形的瓦斯采集者	序章 - 隱形瓦斯採集者
人类 折跃入	人類 - 躍傳
灵能克隆	幽能分身
异虫 大门感染	蟲族 - 門 - 感染
闪电射击者	閃電發射器
闪电射击者 虚拟	閃電發射器 - 模型
序章 裂隙突破	序章 - 裂隙噴發
序章 裂隙未突破	序章 - 裂隙未噴發
暗影打击	暗影打擊
校准棱镜	稜鏡校準
摧毁水晶塔压制单元，夺取里面的水晶塔。	摧毀水晶塔抑制器，奪回裡面的水晶塔。
舰队航标能使你折跃航母。	艦隊導航台可讓你躍傳航空母艦。
机械研究所能使你折跃巨像。	機械研究所可讓你躍傳巨像。
为星灵空中单位提供武器和护甲升级方案，并为传送门提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃机械哨兵<n/>- 可以在传送门中折跃追猎者	提供神族空中單位的武器與裝甲升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓傳送門可躍傳追獵者<n/>- 讓傳送門可躍傳哨衛
<c val="ffff8a">开启：</c><n/>- 可在传送门中折跃黑暗圣堂武士	<c val="ffff8a">功能：</c><n/>- 讓傳送門可躍傳黑暗聖堂武士
致命的近战杀手，该单位永远处于隐形状态，敌人在不借助侦测单位帮助的情况下无法发现他。可以融合为执政官。<n/><n/><c val="ffff8a">可以对地。</c>	致命的戰士級刺客。匿蹤可讓此單位隱形，敵方需透過偵測才看得見。可轉化為執政官。<n/><n/><c val="ffff8a">可攻擊地面單位。</c>
黑暗圣坛能使你折跃黑暗圣堂武士。	黑暗聖殿可讓你躍傳黑暗聖堂武士。
<c val="ffff8a">开启：</c><n/>- 可以在星门中折跃风暴战舰<n/>- 可以在星门中折跃航母	<c val="ffff8a">功能：</c><n/>- 讓星際之門可躍傳暴風艦<n/>- 讓星際之門可躍傳航空母艦
强大的灵能运用大师。能够使用能量反蚀和灵能风暴技能。可以融合为执政官。<n/><n/><c val="ffff8a">可以对地。</c>	強力的幽能大師。可使用潰蝕和幽能風暴。可轉化為執政官。<n/><n/><c val="ffff8a">可攻擊地面單位。</c>
圣堂武士文献馆能使你折跃高阶圣堂武士。	聖堂文庫可讓你躍傳高階聖堂武士。
攻击型步战机甲。可以使用屏障吸收伤害。<n/><n/><c val="ffff8a">可以对地。</c>	突擊步行機甲。可以使用能量屏障吸收傷害。<n/><n/><c val="ffff8a">可攻擊地面單位。</c>
吸收最多<d ref="Behavior,ImmortalBarrierBase,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,ImmortalBarrierBase,Duration"/>秒。	最多可吸收<d ref="Behavior,ImmortalBarrierBase,DamageResponse.ModifyLimit"/>點傷害，持續<d ref="Behavior,ImmortalBarrierBase,Duration"/>秒。
基础建筑，用于接收采集到的资源。可以使用时空提速技能。<n/><n/><c val="ffff8a">开启：</c><n/>- 探机	主要建築。可接收採集到的資源。可使用超時空加速。<n/><n/><c val="ffff8a">功能：</c><n/>- 可躍傳探測機
给予附近友方单位<d ref="Behavior,PrologueVoidArmor,Modification.VitalMaxArray[Shields]"/>点额外的护盾，持续<d ref="Behavior,PrologueVoidArmor,Duration"/>秒。	賦予周圍友方單位<d ref="Behavior,PrologueVoidArmor,Modification.VitalMaxArray[Shields]"/>點護盾，持續<d ref="Behavior,PrologueVoidArmor,Duration"/>秒。
<c val="ffff8a">开启：</c><n/>- 可以在机械台中折跃巨像	<c val="ffff8a">功能：</c><n/>- 讓機械製造廠可躍傳巨像
折跃星灵机械单位。<n/><n/><c val="ffff8a">开启：</c><n/>- 不朽者	可躍傳神族的機械單位。<n/><n/><c val="ffff8a">功能：</c><n/>- 可躍傳不朽者
能量操控单位。能够使用护盾充能、守护者之盾以及力场技能。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	能量操控單位。可使用護盾充能、守衛者護盾和力場。<n/><n/><c val="#ColorAttackInfo">可攻擊地面及空中單位。</c>
控制芯核能使你折跃机械哨兵。	機械控制核心可讓你躍傳哨衛。
[ph] ZAP	轟炸
强大的畸形生物，由星灵和异虫的DNA混合而来。惊人的攻击威力。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c><n/><c val="FFE303">侦测单位</c>	融合蟲族和神族基因而創出的可怖生物，可施展強力攻擊。<n/><n/><c val="#ColorAttackInfo">可攻擊地面及空中單位。</c><n/><c val="FFE303">偵測單位</c>
强大的灵能作战单位。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c><n/><c val="FFE303">侦测单位</c>	強力的幽能攻擊者。<n/><n/><c val="#ColorAttackInfo">可攻擊地面及空中單位。</c><n/><c val="FFE303">偵測單位</c>
远程支援型步战单位。<n/><n/><c val="ffff8a">可以对地和对空。</c>	遠程支援步行機甲。<n/><n/><c val="ffff8a">可攻擊地面及空中單位。</c>
强大的近战战士。<n/><n/><c val="ffff8a">可以对地。</c>	勇猛的近戰戰士。<n/><n/><c val="ffff8a">可攻擊地面單位。</c>
控制芯核能使你折跃追猎者。	機械控制核心可讓你躍傳追獵者。
