非晶态装甲云	Nube de blindaje amorfa
顺手牵羊	Simpa
初级终极装备包	Alijo de equipamiento definitivo primario
全副武装	Armado
高级终极装备包	Alijo de equipamiento definitivo avanzado
黑暗执政官升级包	Arconte tétrico: mejora
黑暗水晶塔：召回	Pilón tétrico: llamar
黑暗圣堂武士升级包	Templario tétrico: mejora
亚顿之矛：事件视界	Lanza de Adun: horizonte final
亚顿之矛：时空理论	Lanza de Adun: cronomancia
暗影卫队：虚空屏蔽	Guardia de las sombras: velo del vacío
暗影军团	Legión de las sombras
亚顿之影	Velo de Adun
亚顿之矛：紧急召回	Lanza de Adun: llamada de emergencia
亚顿之矛：轨道吸纳舱	Lanza de Adun: asimiladores orbitales
亚顿之矛：时间停止	Lanza de Adun: detener tiempo
新单位：黑暗执政官	Unidad nueva: arconte tétrico
爆虫进化：分裂虫	Evolución del pesteling: plaga
爆虫巢穴升级包	Nido de pesteling: mejora
胆汁喷射体升级包	Cañón de bilis: mejora
孕育爆虫和爆蚊	Incubar pesteling y hostigador
虫母	Madre de la prole
无尽虫群	Enjambrista implacable
爆蚊升级包	Hostigador: mejora
新单位：胆汁喷射体	Unidad nueva: cañón de bilis
爆虫巢穴：哺育腔	Nido de pesteling: cámara de incubación
跳虫进化：裂变虫	Evolución del zergling: ternaling
跳虫升级包	Zergling: mejora
萨尔纳加之力	Poder de los Xel'Naga
预言成真	Profecía cumplida
时空通道强化包1	Alijo de mejora de pasaje 1
新单位：萨尔纳加禁绝者	Nueva unidad: anulador Xel'Naga
超维空间技术强化包	Alijo de mejora de teseracto
构造体强化包1	Alijo de mejora de ensamblajes 1
虚空之路	Senda del vacío
超能军团	Legiones potenciadas
新单位：萨尔纳加虚空阵列船	Nueva unidad: matriz de vacío Xel'Naga
时空通道强化包2	Alijo de mejora de pasaje 2
黑暗代理	Intervención tétrica
构造体强化包2	Alijo de mejora de ensamblajes 2
纯粹完美	Pureza de perfección
震荡弹	Proyectiles conmocionantes
变异为腐化者	Mutar en envilecedor
菌毯肿瘤	Tumor de biomateria
折跃控制芯核	Invocar núcleo cibernético
跳舞	Bailar
折跃黑暗圣坛	Invocar santuario tétrico
侦测单位	Detector
变异为工蜂	Mutar en zángano
变异为进化腔	Mutar en cámara de evolución
进化合成代谢	Evolucionar síntesis anabolizante
进化环心镰钩	Evolucionar ganchos centrífugos
进化病原腺体	Evolucionar glándulas patógenas
进化有机甲壳	Evolucionar caparazón orgánico
进化蠕动	Evolucionar peristalsis
进化掘地之爪	Evolucionar garras tuneladoras
进化腹囊	Evolucionar bolsas ventrales
变异为萃取房	Mutar en extractor
折跃舰队航标	Invocar baliza de flota
折跃锻炉	Invocar forja
折跃传送门	Invocar acceso
训练幽灵	Entrenar fantasma
引力弹射	Catapulta gravitón
变异为巨型尖塔	Mutar en espiral mayor
刚毅护盾	Escudo reforzado
变异为孵化场	Mutar en criadero
聚拢	Rebaño
折跃高阶圣堂武士	Invocar alto templario
生成2个高阶圣堂武士幻像	Convocar 2 alucinaciones de alto templario
变异为主巢	Mutar en colmena
停火（特殊）	No disparar especial
变异为刺蛇	Mutar en hidralisco
变异为刺蛇巢	Mutar en guarida de hidralisco
折跃不朽者	Invocar inmortal
生成不朽者幻像	Convocar alucinación de inmortal
变异为感染深渊	Mutar en foso de infestación
变异为感染者	Mutar en infestador
变异为虫穴	Mutar en guarida
喷漆按键1	Botón de grafiti 1
喷漆按键10	Botón de grafiti 10
喷漆按键11	Botón de grafiti 11
喷漆按键12	Botón de grafiti 12
喷漆按键13	Botón de grafiti 13
喷漆按键14	Botón de grafiti 14
喷漆按键2	Botón de grafiti 2
喷漆按键3	Botón de grafiti 3
喷漆按键4	Botón de grafiti 4
喷漆按键5	Botón de grafiti 5
喷漆按键6	Botón de grafiti 6
喷漆按键7	Botón de grafiti 7
喷漆按键8	Botón de grafiti 8
喷漆按键9	Botón de grafiti 9
喷漆默认	Grafiti por defecto
训练劫掠者	Entrenar persecutor
训练陆战队员	Entrenar soldado
生物质获取几率	Probabilidad de recuperación de biomasa
生物质几率翻倍	Probabilidad de doble biomasa
共生体技能冷却时间	Tiempo de reutilización de habilidad de simbionte
建筑变异和进化速度	Ritmo de evolución y mutación de estructuras
剧毒巢穴最大使用次数和冷却时间	Máximo de cargas y tiempo de reutilización de nido tóxico
阿拉纳克攻击伤害	Daño de ataque de Alarak
阿拉纳克信标折跃时间	Tiempo de invocación de baliza de Alarak
死亡舰队冷却时间	Tiempo de reutilización de flota de la muerte
供奉我持续时间	Duración de potenciadme
建筑超载护盾和攻击速度	Escudos y velocidad de ataque obtenidos de sobrecarga de estructuras
守护之壳生命值和护盾恢复	Restauración de escudos y vida de escudo guardián
护盾超载持续时间和伤害吸收	Absorción de daño y duración de sobrecarga de escudo
护盾超载冷却时间	Sobrecarga de escudo: tiempo de reutilización
折跃单位的速度提升	Aumentos de velocidad para unidades invocadas
亚顿之矛初始和最大能量值	Energía inicial y máxima de Lanza de Adun
折跃充能冷却时间缩短	Reducción de tiempo de reutilización de cargas de distorsión
虫群首领激活持续时间	Duración activa de líderes de manada
吞食增益持续时间	Duración de beneficio de devorar
吞食治疗提升	Aumento de sanación de devorar
精华治疗翻倍	Sanaciones de esencia duplicadas
大型原始蠕虫冷却时间	Tiempo de reutilización de guja dragón primigenia superior
智能人格英雄的生命值和护盾	Vida y escudos de la IA de campeón
菲尼克斯战甲的攻击速度	Velocidad de ataque de la armadura de Fénix
菲尼克斯战甲离线时的能量恢复	Regeneración de energía de las armaduras de Fénix desconectadas
高空舰队飞行距离	Distancia de desplazamiento de flota aérea
更佳死亡效果的几率	Mayor probabilidad de muerte
攻击战斗机效果范围	Área de efecto de caza de asalto
回收翻倍的几率	Probabilidad de doble reciclaje
霍纳单位的生命恢复速度	Regeneración de vida de las unidades de Horner
我的另一半的加成	Bonificaciones de mi media naranja
麦格天雷使用次数、冷却时间和准备时间	Cargas, tiempo de reutilización y tiempo de preparación de minas magnéticas
建筑生命值和护盾	Escudos y vida de edificios
修理光束治疗速度	Ritmo de sanación de haz de reparación
时空波动能量生成	Generación de energía de onda cronos
战斗单位资源消耗	Coste de recursos de unidades de combate
战斗单位生命值与护盾	Vida y escudos de unidad de combate
战斗单位高能瓦斯消耗	Coste de gas vespeno de unidades de combate
吸收光环持续时间	Duración de aura de asimilación
凯瑞甘攻击伤害	Daño de ataque de Kerrigan
凯瑞甘茧的出生时间	Tiempo de creación de capullo de Kerrigan
凯瑞甘能量恢复	Regeneración de energía de Kerrigan
强化定身波	Onda de inmovilización aumentada
幼虫孵化速度	Ritmo de engendramiento de larvas
持久变异甲壳	Mutar caparazón prolongado
急速进化	Evoluciones diligentes
劳工和冲锋队员提供的帝国支持度	Apoyo imperial de trabajadores y agentes
皇家卫队提供的帝国支持度	Apoyo imperial de la guardia real
单位生命恢复	Regeneración de vida de unidades
诺娃无人机冷却时间	Tiempo de reutilización de robot de Nova
诺娃能量恢复	Regeneración de energía de Nova
狮鹫号空袭消耗	Coste de ataque aéreo del Grifo
诺娃奥丁持续时间	Duración de Odín de Nova
诺娃主要技能强化	Mejora de habilidad principal de Nova
诺娃复活计时	Cronómetro de revivir de Nova
诺娃攻击伤害	Daño de ataque de Nova
诺娃攻击速度	Velocidad de ataque de Nova
空投舱单位的速度提升	Más velocidad para unidades de cápsulas de lanzamiento
女妖空袭冷却时间	Tiempo de reutilización de ataque aéreo de átropos
医疗兵治疗期间的伤害减免	Reducción de daño durante sanaciones de médicos
医疗兵治疗额外目标	Los médicos sanan a un objetivo adicional
研究资源费用	Coste de recursos de investigación
强化剂持续时间	Duración de los paquetes de estimulantes
亚历山大号冷却时间	Tiempo de reutilización de Aleksander
末日巨兽冷却时间	Tiempo de reutilización de apocalisco
被感染的建筑孵化速度	Ritmo de engendramiento de estructura infestada
感染建筑冷却时间	Tiempo de reutilización de infestar estructura
被感染的步兵持续时间	Duración de infantería infestada
战斗单位移动速度	Velocidad de movimiento de unidad de combate
易爆感染体孵化几率	Probabilidad de engendrar infestados volátiles
战斗空投持续时间和生命值	Duración y vida de entrega de combate
汇聚射线的宽度和伤害	Daño y anchura de haz concentrado
永生程序的消耗和建造时间	Tiempo de construcción y coste de protocolo de inmortalidad
激光钻机建造、升级时间以及升级费用	Tiempo de construcción, tiempo de mejora y coste de mejora de taladro láser
瓦斯采集器消耗	Coste de recolectores de vespeno
泰凯斯粉碎者手雷冷却	Tiempo de reutilización de granada trituradora de Tychus
奥丁冷却	Tiempo de reutilización del Odín
时间停止的单位速度提升	Aumento de velocidad de unidades con detener tiempo
扎加拉攻击伤害	Daño de ataque de Zagara
爆虫攻击伤害	Daño de ataque de pesteling
扎加拉茧的出生时间	Tiempo de creación de capullo de Zagara
扎加拉和虫后的生命值和能量恢复	Regeneración de Zagara y reinas
剧烈狂暴	Frenesí intensificado
蟑螂的伤害和生命值	Vida y daño de cucarachas
跳虫闪避	Evasión de zergling
神器刷新速度	Ritmo de aparición de fragmento del artefacto
召唤支援力量冷却时间缩减	Reducción de tiempo de reutilización de solicitud de apoyo
制造医疗运输机	Construir medevac
变形为传送门	Transformar en acceso
变异为眼虫	Mutar en supervisor
原地防御	Mantener posición
巡逻	Patrullar
变异为异龙	Mutar en mutalisco
折跃星灵枢纽	Invocar nexo
在发射井中部署聚变弹头	Armar silo con bomba nuclear
变异为坑道虫	Mutar en oruga nydus
折跃侦测器	Invocar observador
进化对应面孵化	Evolucionar incubación lateral
升级为轨道控制基地	Mejorar a comando orbital
变异为王虫	Mutar en superamo
折跃凤凰	Invocar fénix
生成凤凰幻像	Convocar alucinación de fénix
制造定点防御靶机	Construir robot de defensa de punto
折跃探机	Invocar sonda
生成4个探机幻像	Convocar 4 alucinaciones de sonda
升级空中单位护甲等级1	Mejorar blindaje aéreo nivel 1
升级空中单位护甲等级2	Mejorar blindaje aéreo nivel 2
升级空中单位护甲等级3	Mejorar blindaje aéreo nivel 3
升级空中单位武器等级1	Mejorar armas aéreas nivel 1
升级空中单位武器等级2	Mejorar armas aéreas nivel 2
升级空中单位武器等级3	Mejorar armas aéreas nivel 3
折跃建筑	Invocar estructura
折跃高级建筑	Invocar estructura avanzada
升级地面单位护甲等级1	Mejorar armadura terrestre nivel 1
升级地面单位护甲等级2	Mejorar armadura terrestre nivel 2
升级地面单位护甲等级3	Mejorar armadura terrestre nivel 3
升级地面单位武器等级1	Mejorar armas terrestres nivel 1
升级地面单位武器等级2	Mejorar armas terrestres nivel 2
升级地面单位武器等级3	Mejorar armas terrestres nivel 3
升级护盾等级1	Mejorar escudos nivel 1
升级护盾等级2	Mejorar escudos nivel 2
升级护盾等级3	Mejorar escudos nivel 3
折跃水晶塔	Invocar pilón
雷达	Radar
设定集结点（额外）	Establecer punto de reunión (Extra)
建造铁鸦	Construir cuervo
建造反应堆	Construir reactor
研发氮气加速	Investigar mochilas nitro
研发贝希摩斯反应堆	Investigar reactor behemot
研发武器改装	Investigar renovación de armamento
进化潜地	Evolucionar enterrar
研究冲锋	Investigar cargar
研发耐久材料	Investigar materiales resistentes
研发加长热能射线枪	Investigar lanza térmica extendida
研发莫比斯反应堆	Investigar reactor Moebius
研究重力加速器	Investigar aceleradores gravíticos
研发重力驱动器	Investigar impulsor gravítico
研发幻像	Investigar alucinación
研发瞬时自动追踪	Investigar rastreo automático de alta seguridad
研究地狱火预燃器	Investigar preignición infernal
研习优势射程	Investigar alcance aumentado
研发引力弹射	Investigar catapulta gravitón
研发吞云推进器	Investigar aceleradores jotun
研究精钢框架	Investigar estructura de neoacero
进化神经寄生	Evolucionar parásito neural
研发隐形迷彩	Investigar invisibilidad personal
研发震荡弹	Investigar proyectiles conmocionantes
研发科维德反应堆	Investigar reactor córvido
研发猎杀飞弹	Investigar misil rastreador
研发防暴护盾	Investigar escudo de combate
研发攻城科技	Investigar tecnología de asedio
研发250毫米口径歼敌炮	Investigar cañones de ataque de 250 mm
研发熔流旋叶	Investigar turbinas de flujo
研究折跃门	Investigar portal de distorsión
返还资源	Devolver carga
变异为蟑螂	Mutar en cucaracha
变异为蟑螂温室	Mutar en madriguera de cucarachas
折跃机械研究所	Invocar bahía robótica
选择建造单位	Seleccionar constructor
建造感应塔	Construir torre de sensores
折跃机械哨兵	Invocar centinela
设定地堡集结点	Establecer punto de reunión de búnker
制造攻城坦克	Construir tanque de asedio
变异为分裂池	Mutar en reserva de reproducción
变异为脊针爬虫	Mutar en reptador de espinas
取消扎根指令	Cancelar orden de arraigar
变异为尖塔	Mutar en espiral
变异为孢子爬虫	Mutar en reptador de esporas
折跃追猎者	Invocar acechador
生成2个追猎者幻像	Convocar 2 alucinaciones de acechador
研发强化剂	Investigar paquete de estimulantes
停止排放菌毯	Dejar de generar biomateria
停止（特殊）	Detener (Especial)
建造补给站	Construir depósito de suministros
轨道空投：额外补给	Solicitar: suministros extra
虫种	Semillas del Enjambre
折跃圣堂武士文献馆	Invocar archivos templarios
建造高级建筑	Construir estructura avanzada
升级步兵护甲等级1	Mejorar armadura de infantería nivel 1
升级步兵护甲等级2	Mejorar armadura de infantería nivel 2
升级步兵护甲等级3	Mejorar armadura de infantería nivel 3
升级步兵武器等级1	Mejorar armas de infantería nivel 1
升级步兵武器等级2	Mejorar armas de infantería nivel 2
升级步兵武器等级3	Mejorar armas de infantería nivel 3
升级舰船钢板等级1	Mejorar chapado de naves nivel 1
升级舰船钢板等级2	Mejorar chapado de naves nivel 2
升级舰船钢板等级3	Mejorar chapado de naves nivel 3
升级舰船武器等级1	Mejorar armas de naves nivel 1
升级舰船武器等级2	Mejorar armas de naves nivel 2
升级舰船武器等级3	Mejorar armas de naves nivel 3
升级战车钢板等级1	Mejorar chapado de vehículos nivel 1
升级战车钢板等级2	Mejorar chapado de vehículos nivel 2
升级战车钢板等级3	Mejorar chapado de vehículos nivel 3
升级战车武器等级1	Mejorar armas de vehículos nivel 1
升级战车武器等级2	Mejorar armas de vehículos nivel 2
升级战车武器等级3	Mejorar armas de vehículos nivel 3
转向	Girar
折跃光影议会	Invocar consejo crepuscular
变异为雷兽	Mutar en ultralisco
变异为雷兽窟	Mutar en caverna de ultralisco
升级建筑护甲	Mejorar blindaje de estructura
变形为折跃门	Transformar en portal de distorsión
制造维京战机	Construir vikingo
折跃虚空辉光舰	Invocar rayo de vacío
生成虚空辉光舰幻像	Convocar alucinación de rayo de vacío
召集折跃棱镜	Invocar prisma de distorsión
