非晶态装甲云	Zasłona amorficzna
小型废料回收	Mała sterta złomu
大型废料回收	Duża sterta złomu
巨型废料回收	Wielka sterta złomu
星灵蛇区段演示	Protosi – segment węża – demo
不平地形	Trudny teren
烟雾遮蔽物	Zasłona dymna
利爪导弹	Pociski „Szpony”
风暴战舰武器	Orkan Broń
人类对空战车	Terrański pojazd przeciwlotniczy
人类对空步战机甲	Terrańska przeciwlotnicza maszyna krocząca
地嗪喷泉	Gejzer terrazytu
棘刺蜥蜴	Ciernista jaszczurka
龙卷风导弹 虚拟	Pociski „Tornado” – atrapy
塔雷	Wieża, mina
不可建造的砖块	Cegły blokujące budowę
不可建造的金属板	Płyty blokujące budowę
不可建造的岩石	Skały blokujące budowę
飞蛇虫茧	Kokon żmija
飞蛇吞噬 发射物	Żmij, Pochłonięcie, Pocisk
寡妇雷 空中	Wdowia mina – powietrze
货车残骸	Wrak ciężarówki
命令单位站在此处进行恢复	Stań na tym, aby uleczyć jednostkę
Xel'Naga Caverns Door	Jaskinie xel'naga Drzwi
Xel'Naga Caverns Floating Bridge - H - 10 - Retracted	Jaskinie xel'naga – Wiszący most – Poz – 10 – Schowany
Xel'Naga Caverns Floating Bridge - H - 10 - Extended	Jaskinie xel'naga – Wiszący most – Poz – 10 – Wysunięty
Xel'Naga Caverns Floating Bridge - H - 12 - Retracted	Jaskinie xel'naga – Wiszący most – Poz – 12 – Schowany
Xel'Naga Caverns Floating Bridge - H - 12 - Extended	Jaskinie xel'naga – Wiszący most – Poz – 12 – Wysunięty
Xel'Naga Caverns Floating Bridge - H - 8 - Retracted	Jaskinie xel'naga – Wiszący most – Poz – 8 – Schowany
Xel'Naga Caverns Floating Bridge - H - 8 - Extended	Jaskinie xel'naga – Wiszący most – Poz – 8 – Wysunięty
Xel'Naga Caverns Floating Bridge - NE - 10 - Retracted	Jaskinie xel'naga – Wiszący most – PnW – 10 – Schowany
Xel'Naga Caverns Floating Bridge - NE - 10 - Extended	Jaskinie xel'naga – Wiszący most – PnW – 10 – Wysunięty
Xel'Naga Caverns Floating Bridge - NE - 12 - Retracted	Jaskinie xel'naga – Wiszący most – PnW – 12 – Schowany
Xel'Naga Caverns Floating Bridge - NE - 12 - Extended	Jaskinie xel'naga – Wiszący most – PnW – 12 – Wysunięty
Xel'Naga Caverns Floating Bridge - NE - 8 - Retracted	Jaskinie xel'naga – Wiszący most – PnW – 8 – Schowany
Xel'Naga Caverns Floating Bridge - NE - 8 - Extended	Jaskinie xel'naga – Wiszący most – PnW – 8 – Wysunięty
Xel'Naga Caverns Floating Bridge - NW - 10 - Retracted	Jaskinie xel'naga – Wiszący most – PnZ – 10 – Schowany
Xel'Naga Caverns Floating Bridge - NW - 10 - Extended	Jaskinie xel'naga – Wiszący most – PnZ – 10 – Wysunięty
Xel'Naga Caverns Floating Bridge - NW - 12 - Retracted	Jaskinie xel'naga – Wiszący most – PnZ – 12 – Schowany
Xel'Naga Caverns Floating Bridge - NW - 12 - Extended	Jaskinie xel'naga – Wiszący most – PnZ – 12 – Wysunięty
Xel'Naga Caverns Floating Bridge - NW - 8 - Retracted	Jaskinie xel'naga – Wiszący most – PnZ – 8 – Schowany
Xel'Naga Caverns Floating Bridge - NW - 8 - Extended	Jaskinie xel'naga – Wiszący most – PnZ – 8 – Wysunięty
Xel'Naga Caverns Floating Bridge - V - 10 - Retracted	Jaskinie xel'naga – Wiszący most – Pio – 10 – Schowany
Xel'Naga Caverns Floating Bridge - V - 10 - Extended	Jaskinie xel'naga – Wiszący most – Pio – 10 – Wysunięty
Xel'Naga Caverns Floating Bridge - V - 12 - Retracted	Jaskinie xel'naga – Wiszący most – Pio – 12 – Schowany
Xel'Naga Caverns Floating Bridge - V - 12 - Extended	Jaskinie xel'naga – Wiszący most – Pio – 12 – Wysunięty
Xel'Naga Caverns Floating Bridge - V - 8 - Retracted	Jaskinie xel'naga – Wiszący most – Pio – 8 – Schowany
Xel'Naga Caverns Floating Bridge - V - 8 - Extended	Jaskinie xel'naga – Wiszący most – Pio – 8 – Wysunięty
绑架导弹	Pocisk „Zonk”
绑架攻城坦克导弹	Pocisk „Zonk” czołgu oblężniczego.
绑架维京对空发射物	Zonk Wiking Powietrze Pocisk
绑架维京对地发射物	Zonk Wiking Ziemia Pocisk
拱门	Łuk
拱门废墟	Łuk – gruz
坑道颌骨	Kopiące szczęki
耐久蝗虫	Wytrzymała szarańcza
玻色子核心	Rdzeń bozonowy
星灵英雄战舰侦测器	Protosi – statek bohatera – wykrywacz
星灵英雄战舰法术	Umiejętność statku bohatera protosów
星灵英雄战舰武器	Protosi – statek bohatera – broń
收割者跳跃	Żniwiarz – skok
奖励舞步 - 巨像	Taniec Nagroda – Kolos
奖励舞步 - 幽灵	Taniec Nagroda – Duch
奖励舞步 - 感染者	Taniec Nagroda – Infektor
奖励舞步 - 矿骡	Taniec Nagroda – MUŁ
奖励舞步 - 先知	Taniec Nagroda – Wyrocznia
奖励舞步 - 王虫	Taniec Nagroda – Nadrządca
奖励舞步 - 蟑螂	Taniec Nagroda – Karakan
奖励舞步 - 追猎者	Taniec Nagroda – Tropiciel
奖励舞步 - 维京	Taniec Nagroda – Wiking
异虫潜地移动	Zergi – ruch z zagrzebaniem
Has Mothership Core Recalled	Posiada Rdzeń statku-matki – Wezwanie powrotne
Has Mothership Core Recalling	Posiada Rdzeń statku-matki – Wzywanie powrotne
Has Mothership Core Recalling Or Recalled	Posiada Rdzeń statku-matki – Wzywanie/Wezwanie powrotne
壳：	Skorupa:
奥比昂	Albion
消化虫 菌毯喷溅 武器	Trawiciel, Biomasa – rozprysk, broń
虫群作战体 利爪	Zainfekowana chmara, Szpony
酸性喷吐物	Splunięcie kwasem
剧毒倒刺	Toksyczne kolce
虫	Czerw
虫群宿主攻击	Nosiciel roju – atak
动能过载	Przeładowanie kinetyczne
轨道枪	Działo kinetyczne
战狼近战	Ogar, Walka wręcz
启用发射井(聚变打击)	Arm Magazine (Nuke)
研发 (军械库)	Research (Armory)
攻击重新定向	Attack Redirect
攻击(折跃棱镜)	Attack (Warp Prism)
研发(爆虫巢穴)	Research (Baneling Nest)
聚变反应堆部署(兵营)	Nuclear Reactor Morph (Barracks)
科技实验室部署(兵营)	Tech Lab Morph (Barracks)
科技实验室研发 (兵营)	Tech Lab Research (Barracks)
巢虫领主 虫囊	Brood Lord Hangar
巢虫领主 队列2	Brood Lord Queue2
正在进行的建造	Build in Progress
建造虫道	Build Nydus Canal
正在建造的虫道	Buildin Progress Nydus Canal
装载-卸载(地堡)	Load-Unload (Bunker)
潜地(爆虫)	Burrow (Baneling)
出地(爆虫)	Unburrow (Baneling)
潜地(工蜂)	Burrow (Drone)
出地(工蜂)	Unburrow (Drone)
潜地(刺蛇)	Burrow (Hydralisk)
出地(刺蛇)	Unburrow (Hydralisk)
潜地(感染者)	Burrow (Infestor)
潜地 被感染的人类 朝下	Burrow Infested Terran Down
潜地 被感染的人类 朝上	Burrow Infested Terran Up
出地(感染者)	Unburrow (Infestor)
潜地(蟑螂)	Burrow (Roach)
出地(蟑螂)	Unburrow (Roach)
潜地(雷兽)	Burrow (Ultralisk)
出地(雷兽)	Unburrow (Ultralisk)
潜地(跳虫)	Burrow (Zergling)
出地(跳虫)	Unburrow (Zergling)
轨道空投矿骡	Calldown MULE
装载-卸载(指挥中心)	Load-Unload (Command Center)
产下	Build
伪装成持有护盾的陆战队员	Disguise As Marine With Shield
伪装成没有护盾的陆战队员	Disguise As Marine Without Shield
伪装成狂热者	Disguise As Zealot
伪装成长有双翼的跳虫	Disguise As Zergling With Wings
伪装成没有双翼的跳虫	Disguise As Zergling Without Wings
伪装拟态雏虫	Disguise Changeling
采集(工蜂)	Gather (Drone)
聚变反应堆部署(重工厂)	Nuclear Reactor Morph (Factory)
科技实验室部署(重工厂)	Tech Lab Morph (Factory)
科技实验室研发(重工厂)	Tech Lab Research (Factory)
研发(锻炉)	Research (Forge)
幻像(执政官)	Hallucination (Archon)
幻像(巨像)	Hallucination (Colossus)
幻像(高阶圣堂武士)	Hallucination (High Templar)
幻像(不朽者)	Hallucination (Immortal)
幻像(凤凰)	Hallucination (Phoenix)
幻像(探机)	Hallucination (Probe)
幻像(追猎者)	Hallucination (Stalker)
幻像(虚空辉光舰)	Hallucination (Void Ray)
幻像(折跃棱镜)	Hallucination (Warp Prism)
幻像(狂热者)	Hallucination (Zealot)
队列(5)(机库)	Queue (5) (Hangar)
兽群互应	Herd Interact
变异(刺蛇巢)	Research (Hydralisk Den)
被感染的人类产卵	Infested Terrans Lay Egg
变异(虫穴主巢)	Research (LairHive)
单位变异(幼虫 -> 基础单位)	Morph Unit (Larva -> Basic)
装载-卸载(医疗运输机)	Load-Unload (Medivac)
可融合	Mergeable
金属大门默认降下	Metal Gate Default Lower
金属大门默认升起	Metal Gate Default Raise
转换回传送门	Back To Gateway
变异(腐化者 - > 虫巢之母)	Morph (Corruptor - > Brood Lord)
变异为被感染的人类	Morph To Infested Terran
王虫变异为眼虫	Overlord Morph to Overseer
变异(跳虫->爆虫)	Morph (Zergling -> Baneling)
折跃(星灵枢纽)	Train (Nexus)
虫道运输	Nydus Canal Transport
着陆(轨道控制基地)	Land (Orbital Command)
升空(轨道控制基地)	Lift Off (Orbital Command)
装载-卸载(王虫)	Load-Unload (Overlord)
投放定点防御靶机	Place Point Defense Drone
采集(探机)	Gather (Probe)
进行集结	Progress Rally
指挥中心 - 集结	Command Center - Rally
孵化场集结	Hatchery - Rally
星灵枢纽 - 集结	Nexus - Rally
聚变反应堆部署	Nuclear Reactor Morph
红石星熔岩生物潜地	Redstone Lava Critter Burrow
红石星熔岩生物受伤潜地	Redstone Lava Critter Injured Burrow
红石星熔岩生物受伤出地	Redstone Lava Critter Injured Unburrow
红石星熔岩生物出地	Redstone Lava Critter Unburrow
资源返还	Refund
研发(蟑螂温室)	Research (Roach Warren)
研发(机械研究所)	Research (Robotics Bay)
采集(SCV)	Gather (SCV)
崩裂	Shatter
狙击手	Sniper
幼虫群	Larva Swarm
研发(分裂池)	Research (Spawning Pool)
研发(尖塔&巨型尖塔)	Research (Spire & GreaterSpire)
喷漆	Graffiti
训练(星门)	Train (Stargate)
聚变反应堆部署(星港)	Nuclear Reactor Morph (Starport)
科技实验室部署(星港)	Tech Lab Morph (Starport)
科技实验室研发(星港)	Tech Lab Research (Starport)
强化剂 劫掠者	StimpackMara
强化剂 劫掠者 重新定向	Stimpack Marauder Redirect
强化剂重新定向	Stimpack Redirect
停止重新定向	Stop Redirect
空投补给	Supply Drop
科技实验室部署(已分离)	Tech Lab Morph (Detached)
研发(圣堂武士文献馆)	Research (Templar Archives)
人类附属建筑	Terran AddOns
人类建筑着陆	Terran Building Land
人类建筑升空	Terran Building Lift Off
占塔	Tower Capture
变异建筑(尖塔 -> 巨型尖塔)	Morph Building (Spire -> Greater Spire)
变异建筑(虫穴 -> 主巢)	Morph Building (Lair -> Hive)
变异建筑(孵化场 -> 虫穴)	Morph Building (Hatchery -> Lair)
建筑变型(指挥中心 -> 轨道控制基地)	Morph Building (COCE -> Orbital Command)
变异建筑(指挥中心 -> 行星要塞)	Morph Building (COCE -> Planetary Fortress)
快速升级为行星要塞	Upgrade To Planetary Fortress Fast
升级建筑(传送门 -> 折跃门)	Morph Building (Gateway -> Warp Gate)
装载-卸载(穿梭机)	Load-Unload (Shuttle)
可折跃	Warpable
Wizard Simple Skillshot	Wizard Simple Skillshot
单位变异(工蜂 -> 异虫建筑)	Morph Unit (Drone -> Zerg Buildings)
研发 (进化腔)	Research (Evolution Chamber)
队列(1)	Queue (1)
队列(5)	Queue (5)
队列(5)(取消选择)	Queue (5) (Cancel To Selection)
队列(5)缓慢混合	Queue (5) Long Blend
队列(5)被动	Queue (5) Passive
队列(5)被动(取消选择)	Queue (5) Passive (Cancel to Selection)
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   选择区域<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> – aby wskazać obszar.<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – aby anulować.
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   放置菌毯肿瘤<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> – aby umieścić tumor biomasy.<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – aby anulować.
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   选择目标<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> – aby wybrać cel.<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – aby anulować.
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   治疗目标<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> – aby wyleczyć cel.<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – aby anulować.
挑战	Wyzwania
经济	Ekonomia
竞技赛	Rywalizacja
虚空之遗战役	Kampania „Void”
序章任务线	Misje prologu
终章任务线	Misje epilogu
在“死亡前兆”挑战任务中获得青铜评级。	Zdobądź brąz w wyzwaniu „Zwiastun śmierci”.
在“死亡前兆”挑战任务中获得黄金评级。	Zdobądź złoto w wyzwaniu „Zwiastun śmierci”.
在“死亡前兆”挑战任务中获得白银评级。	Zdobądź srebro w wyzwaniu „Zwiastun śmierci”.
在“开局之道”挑战任务中获得青铜评级。	Zdobądź brąz w wyzwaniu „Dobry początek”.
在“开局之道”挑战任务中获得黄金评级。	Zdobądź złoto w wyzwaniu „Dobry początek”.
在“开局之道”挑战任务中获得白银评级。	Zdobądź srebro w wyzwaniu „Dobry początek”.
以青铜或更高的评级完成3个挑战任务。	Ukończ 3 wyzwania, zdobywając przynajmniej brąz.
以青铜或更高的评级完成所有挑战任务。	Ukończ wszystkie wyzwania, zdobywając przynajmniej brąz.
以青铜或更高的评级完成6个挑战任务。	Ukończ 6 wyzwań, zdobywając przynajmniej brąz.
在所有挑战任务中获得黄金评级。	Zdobądź złoto we wszystkich wyzwaniach.
在“升腾之途”挑战任务中获得青铜评级。	Zdobądź brąz w wyzwaniu „Droga wstąpienia”.
在“升腾之途”挑战任务中获得黄金评级。	Zdobądź złoto w wyzwaniu „Droga wstąpienia”.
在“升腾之途”挑战任务中获得白银评级。	Zdobądź srebro w wyzwaniu „Droga wstąpienia”.
在“灵能袭击”挑战任务中获得青铜评级。	Zdobądź brąz w wyzwaniu „Psioniczny szturm”.
在“灵能袭击”挑战任务中获得黄金评级。	Zdobądź złoto w wyzwaniu „Psioniczny szturm”.
在“灵能袭击”挑战任务中获得白银评级。	Zdobądź srebro w wyzwaniu „Psioniczny szturm”.
在“应对速攻”挑战任务中获得青铜评级。	Zdobądź brąz w wyzwaniu „Obrona przed szturmem”.
在“应对速攻”挑战任务中获得黄金评级。	Zdobądź złoto w wyzwaniu „Obrona przed szturmem”.
在“应对速攻”挑战任务中获得白银评级。	Zdobądź srebro w wyzwaniu „Obrona przed szturmem”.
在“战术指挥”挑战任务中获得青铜评级。	Zdobądź brąz w wyzwaniu „Dowództwo taktyczne”.
在“战术指挥”挑战任务中获得黄金评级。	Zdobądź złoto w wyzwaniu „Dowództwo taktyczne”.
在“战术指挥”挑战任务中获得白银评级。	Zdobądź srebro w wyzwaniu „Dowództwo taktyczne”.
在“隐秘行动”挑战任务中获得青铜评级。	Zdobądź brąz w wyzwaniu „Centrum wywiadu”.
在“隐秘行动”挑战任务中获得黄金评级。	Zdobądź złoto w wyzwaniu „Centrum wywiadu”.
在“隐秘行动”挑战任务中获得白银评级。	Zdobądź srebro w wyzwaniu „Centrum wywiadu”.
在“为了虫群”挑战任务中获得青铜评级。	Zdobądź brąz w wyzwaniu „Za rój”.
在“为了虫群”挑战任务中获得黄金评级。	Zdobądź złoto w wyzwaniu „Za rój”.
在“为了虫群”挑战任务中获得白银评级。	Zdobądź srebro w wyzwaniu „Za rój”.
在“异虫感染”挑战任务中获得青铜评级。	Zdobądź brąz w wyzwaniu „Infekcja zergów”.
在“异虫感染”挑战任务中获得黄金评级。	Zdobądź złoto w wyzwaniu „Infekcja zergów”.
在“异虫感染”挑战任务中获得白银评级。	Zdobądź srebro w wyzwaniu „Infekcja zergów”.
在一场对战游戏中，开局320秒内训练10名陆战队员。	Wyszkol 10 marines w trakcie pierwszych 320 sekund pojedynczego starcia.
在一场对战游戏中，开局250秒内折跃5名狂热者。	Przyzwij 5 zelotów w trakcie pierwszych 250 sekund pojedynczego starcia.
在一场对战游戏中，开局255秒内变异20只跳虫。	Przekształć 20 zerglingów w trakcie pierwszych 255 sekund pojedynczego starcia.
在对战游戏中，成功摆脱一枚铁鸦猎杀飞弹的追击。	Zrób unik przed przed pociskiem Łowca kruka w trakcie starcia.
在对战游戏中，对一个正在遭受敌人攻击的建筑进行取消建造。	Anuluj tworzenie budowli, która jest atakowana przez przeciwnika w trakcie starcia.
在快速匹配的混战游戏中，消灭总计100个敌方单位。	Zabij łącznie 100 wrogich jednostek w trakcie szybkich meczy każdy na każdego.
在对战游戏中，开局225秒内建立分基地。	Przeprowadź ekspansję w trakcie pierwszych 225 sekund starcia.
