非晶态装甲云	Protezione informe
拟态雏虫无法攻击。当它首次遭遇敌方单位时会依照其物种变成与之颜色相同的狂热者、陆战队员或是跳虫。拟态雏虫会在存活<d time="150"/>后死亡。	I Mutaforma non possono attaccare. La prima volta che incontrano un nemico ne assumono il colore e mutano in Zeloti, Marine o Zergling, a seconda della razza del nemico. Muoiono dopo <d time="150"/>.
提高狂热者的移动速度，并使狂热者可以拦截附近的敌人。该技能<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒内只能使用1次。	Aumenta la velocità degli Zeloti e consente loro di intercettare i nemici nelle vicinanze. L'abilità può essere usata solo una volta ogni <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> secondi.
命令选中的单位欢呼。（仅当选中的单位有欢呼动画）	Ordina alle unità selezionate di salutare (se hanno le animazioni per farlo).
巨像能够攀越悬崖。	Il Colosso può salire e scendere dai dislivelli camminando.
取消所选单位的隐形效果，使其现形。	Rimuove l'Occultamento dell'unità selezionata, rendendola visibile ai nemici.
使该单位隐形，防止敌方发现或攻击该单位。隐形后的单位只会被侦测单位或侦测效果发现。<n/><n/><c val="f078ff">每秒消耗<d ref="-1 * (Behavior,BansheeCloak,Modification.VitalRegenArray[2] + Unit,Banshee,EnergyRegenRate)" precision="1"/>点能量。</c>	Occulta l'unità, impedendo ai nemici di vederla o attaccarla. Le unità occultate possono essere individuate solo da individuatori o effetti.<n/><n/><c val="f078ff">Sottrae <d ref="-1 * (Behavior,BansheeCloak,Modification.VitalRegenArray[2] + Unit,Banshee,EnergyRegenRate)" precision="1"/> punti energia al secondo.</c>
使该单位隐形，防止敌方发现或攻击该单位。隐形后的单位只会被侦测单位或侦测效果发现。<n/><n/><c val="f078ff">每秒消耗<d ref="-1 * (Behavior,GhostCloak,Modification.VitalRegenArray[2] + Unit,Ghost,EnergyRegenRate)" precision="1"/>点能量。</c>	Occulta l'unità, impedendo ai nemici di vederla o attaccarla. Le unità occultate possono essere individuate solo da individuatori o effetti.<n/><n/><c val="f078ff">Sottrae <d ref="-1 * (Behavior,GhostCloak,Modification.VitalRegenArray[2] + Unit,Ghost,EnergyRegenRate)" precision="1"/> punti energia al secondo.</c>
强大的战斗机甲。能够攀越悬崖。攻击可以一次性点燃多个目标。<n/><n/><c val="ffff8a">可以对地。</c>	Potente camminatore da battaglia. Sale o scende dai dislivelli. I suoi attacchi bruciano più nemici contemporaneamente.<n/><n/><c val="ffff8a">Può attaccare unità terrestri.</c>
步战机器人，装备强大的范围攻击武器。能够攀越悬崖。<n/><n/><c val="ffff8a">可以对地。</c>	Camminatore da battaglia con potente attacco ad area. Sale o scende dai dislivelli.<n/><n/><c val="ffff8a">Può attaccare unità terrestri.</c>
步战机器人，装备强大的范围攻击武器。能够攀越悬崖。攻击能在地面上留下火焰，对敌人造成持续性伤害。<n/><n/><c val="ffff8a">可以对地。</c>	Camminatore da battaglia con potente attacco ad area. Sale o scende dai dislivelli camminando. Il suo attacco incendia il terreno, infliggendo danni periodici ai nemici.<n/><n/><c val="ffff8a">Può attaccare unità terrestri.</c>
基础建筑，用于接收采集到的资源。自体可以升空，可以升级成为轨道控制基地或行星要塞。<n/><n/><c val="ffff8a">开启：</c><n/>- SCV	Struttura primaria. Usata per ricevere le risorse raccolte. Può decollare ed essere potenziato in Comando orbitale o Fortezza planetaria.<n/><n/><c val="ffff8a">Consente:</c><n/>- SCV
将附近的SCV装载进指挥中心。	Carica gli SCV vicini nel Centro di comando.
从死亡的敌人身上搜集生物质可以提升阿巴瑟单位的生命值、攻击速度和能量恢复。蟑螂不消耗高能瓦斯。幼虫孵化速度提高。	Le unità di Abathur ottengono bonus a vita, velocità d'attacco e rigenerazione di energia raccogliendo biomassa dai nemici caduti. Le Blatte non hanno costo in gas vespene. La frequenza di generazione delle Larve è aumentata.
阿巴瑟的单位每拥有一层生物质即可进行自我治疗，数值相当于它们造成伤害的1%。	Le unità di Abathur rigenerano punti vita pari all'1% dei danni inflitti per ogni accumulo di biomassa in possesso.
被击杀后，你的单位有50%的几率掉落所有生物质。	Quando vengono uccise, le unità hanno il 50% di probabilità di rilasciare tutta la biomassa raccolta.
莽兽和利维坦获得附身的共生体，攻击敌人并使用可吸收伤害的甲壳保护它们的宿主。	Brutalische e Leviatani ottengono un Simbionte che li segue, attaccando i nemici e proteggendo l'ospite con un guscio che assorbe i danni.
愈合可以储存最多3次充能，冷却时间缩短30秒。	Rimarginazione può accumulare 3 cariche e il suo tempo di recupero è ridotto di 30 secondi.
将阿巴瑟的蟑螂升级成秽型虫变种。<n/><n/>突击单位。潜地时能快速恢复生命值。攻击可以削弱目标，降低其攻击和移动速度。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Potenzia le Blatte di Abathur nel ceppo di Vile.<n/><n/>Unità d'assalto. Si rigenera rapidamente mentre è rintanata. I suoi attacchi indeboliscono il bersaglio, riducendone la velocità d'attacco e di movimento.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità terrestri.</c>
敌方单位在死亡时有一定几率孵化友方蝗虫。	Le unità nemiche hanno una probabilità di generare Locuste alleate alla morte.
受到剧毒巢穴伤害的敌人掉落额外的生物质，并且攻击和移动速度有所降低。剧毒巢穴有一定几率在死亡时重生。敌人无法选中剧毒巢穴。	I nemici danneggiati dai Nidi tossici rilasciano biomassa aggiuntiva e la loro velocità d'attacco e di movimento è ridotta. I Nidi tossici non possono essere colpiti dai nemici. Aggiunge ai Nidi Tossici una probabilità di ricomparsa.
破坏者、守护者、吞噬者的变异时间和资源消耗减少50%。	Riduce del 50% il costo in risorse e il tempo di generazione di Laceratori, Guardiani e Divoratori.
使用100层生物质解锁地面单位进化成莽兽的技能。空中单位使用100层生物质可以进化成利维坦。	Le unità terrestri con 100 accumuli di biomassa possono trasformarsi in Brutalische. Le unità aeree con 100 accumuli di biomassa possono trasformarsi in Leviatani.
在进化腔中解锁以下升级：<n/><ul indent="2" text="▪"><li/>允许孵化场、虫穴和主巢同时生成两只虫后。<li/>使虫后的速效哺液的治疗量提高10点，并且可以治疗生物和机械单位。	Sblocca i seguenti potenziamenti alla Camera evolutiva:<n/><ul indent="2" text="•"><li/>Consente a Vivai, Tane e Alveari di generare due Regine contemporaneamente.<li/>Aumenta di 10 l'effetto di Trasfusione rapida delle Regine e consente di usarla su unità e strutture meccaniche.
在尖塔和巨型尖塔中解锁以下升级：<n/><ul indent="2" text="▪"><li/>提升守护者的攻击射程。<li/>使吞噬者的攻击可以造成范围伤害。<li/>升级异龙的攻击，对重甲单位造成100%加成伤害。	Sblocca i seguenti potenziamenti al Pinnacolo e al Pinnacolo maggiore:<n/><ul indent="2" text="•"><li/>Estende la portata d'attacco dei Guardiani.<li/>Consente agli attacchi dei Divoratori di infliggere danni ad area.<li/>Potenzia gli attacchi delle Mutalische, infliggendo il 100% di danni aggiuntivi alle unità corazzate.
在感染深渊中解锁以下升级：<n/><ul indent="2" text="▪"><li/>解锁虫群宿主的深槽虫道技能，使其能快速潜地前往目标位置。<li/>解锁飞蛇的麻痹勾刺技能，延长其绑架技能造成的昏迷时间。	Sblocca i seguenti potenziamenti alla Fossa d'infestazione:<n/><ul indent="2" text="•"><li/>Sblocca l'abilità Rintanamento profondo dell'Ospite dello Sciame, che consente di rintanarsi rapidamente, spostandosi nel punto selezionato.<li/>Sblocca l'abilità Barbigli paralizzanti della Vipera, che aumenta la durata dello stordimento di Rapimento.
在蟑螂温室中解锁以下升级：<n/><ul indent="2" text="▪"><li/>蟑螂生命值低于50%时获得+6护甲。<li/>破坏者的腐蚀胆汁技能造成的伤害提高40点。	Sblocca i seguenti potenziamenti alla Colonia di Blatte:<n/><ul indent="2" text="•"><li/>Aumenta di +6 la corazza delle Blatte quando la vita scende sotto il 50%. <li/>Aumenta di 40 i danni di Bile corrosiva dei Laceratori.
解锁阿拉纳克的供奉我技能，附近每有一个友方单位都会使他的攻击以及技能伤害提高，持续20秒。	Sblocca l'abilità Potere ampliato di Alarak, che aumenta i danni di attacchi e abilità per ogni unità alleata vicina. Questo effetto dura 20 secondi.
在锻炉中解锁以下升级：<n/><ul indent="2" text="▪"><li/>使阿拉纳克的普通攻击能够击晕敌人及减速英雄单位，持续2秒。<li/>湮灭波的击退距离提高100%。</ul>	Sblocca i seguenti potenziamenti alla Forgia:<n/><ul indent="2" text="•"><li/>Consente agli attacchi base di Alarak di stordire i nemici e rallentare le unità eroiche per 2 secondi.<li/>Aumenta del 100% la distanza di respinta di Onda distruttiva.</ul>
在控制芯核中解锁以下升级：<n/><ul indent="2" text="▪"><li/>目标锁定的伤害加成额外提高15%。<li/>扩大小队视野的范围，以及目标锁定和力场的射程。</ul>	Sblocca i seguenti potenziamenti al Centro cibernetico:<n/><ul indent="2" text="•"><li/>Aumenta del 15% il bonus ai danni di Aggancia bersaglio.<li/>Estende del 25% la portata di Visione collettiva, Aggancia bersaglio e Campo di forza.</ul>
阿拉纳克的致命冲锋射程提高3，冷却时间缩短5秒。	Estende di 3 la portata di Carica letale di Alarak e ne riduce il tempo di recupero di 5 secondi.
解锁母舰的热能射线枪技能，并且在召唤死亡舰队时额外折跃4艘毁灭者。	Sblocca l'abilità Lancia termica della Nave madre e richiamare la Flotta della Morte evoca 4 Distruttori aggiuntivi.
建筑超载现在可以激活一层屏障，吸收最多400点伤害。	Sovraccarico strutture fornisce anche una barriera che assorbe fino a 400 danni.
献祭一名死徒使阿拉纳克的下一次致命冲锋可以对主要目标附近的4名敌人造成额外50点伤害。	Quando Alarak sacrifica un Supplice, la successiva Carica letale infligge anche 50 danni a 4 nemici vicini al bersaglio principale.
在机械研究所中解锁以下升级：<n/><ul indent="2" text="▪"><li/>先锋的溅射伤害范围扩大50%。<li/>提高天罚行者的攻击速度。	Sblocca i seguenti potenziamenti al Laboratorio robotico:<n/><ul indent="2" text="•"><li/>Estende del 50% l'area d'attacco dei Pretoriani.<li/>Aumenta la velocità d'attacco dei Ciclopi.
每当有一个死徒被献祭，阿拉纳克致命冲锋的冷却时间缩短10秒，湮灭波的冷却时间缩短5秒。	Riduce di 10 secondi il tempo di recupero di Carica letale e di 5 secondi quello di Onda distruttiva per ogni Supplice sacrificato.
在晋升者文献馆中解锁以下升级：<n/><ul indent="2" text="▪"><li/>提高晋升者灵能球的飞行距离。<li/>献祭为晋升者提供可叠加的永久护盾和技能伤害加成。</ul>	Sblocca i seguenti potenziamenti agli Archivi degli Ascendenti:<n/><ul indent="2" text="•"><li/>Aumenta la distanza percorribile di Sfera psionica.<li/>Sacrificio fornisce agli Ascendenti un aumento cumulabile permanente a danni delle abilità e scudi.
在死亡议会中解锁以下升级：<n/><ul indent="2" text="▪"><li/>死徒的护盾+25点。<li/>杀戮者在受到伤害后，短时间内处于无敌状态。</ul>	Sblocca i seguenti potenziamenti al Concilio della Morte:<n/><ul indent="2" text="•"><li/>I Supplici ottengono 25 scudi aggiuntivi.<li/>Consente ai Carnefici di diventare temporaneamente invulnerabili dopo aver subito danni.
强大的灵能运用大师。可以使用灵能球、心灵爆裂和献祭。<n/><n/><c val="ffff8a">可以对地。</c>	Potente maestro psionico. Può usare Sfera psionica, Esplosione mentale e Sacrificio.<n/><n/><c val="ffff8a">Può attaccare unità terrestri.</c>
解锁折跃限时的塔达林母舰和毁灭者护卫的能力。通过顶部面板来召唤死亡舰队。	Consente di richiamare una Nave madre e una schiera di Distruttori con vita a tempo. La Flotta della Morte può essere evocata dal pannello in alto sullo schermo.
在舰队航标中解锁以下升级：<n/><ul indent="2" text="▪"><li/>允许凤凰战机同时对两名目标使用引力光束。<li/>解锁风暴战舰的衰变技能，可在20秒内对目标单位或建筑造成500点伤害。</ul>	Sblocca i seguenti potenziamenti al Faro della flotta:<n/><ul indent="2" text="•"><li/>Le Fenici possono attivare Raggio gravitonico su due bersagli contemporaneamente.<li/>Le Tempeste possono attivare Disintegrazione, infliggendo 500 danni in 20 secondi a un'unità o struttura bersaglio.</ul>
解锁执政官的能量反蚀和灵能风暴技能。	Consente agli Arconti di usare Contrappasso e Tempesta psionica.
使亚顿之矛的太阳轰炸的轰击次数从200次提升至400次。通过顶部面板来激活太阳轰炸。	Aumenta il numero di colpi del Bombardamento solare della Lancia di Adun da 200 a 400. Bombardamento solare può essere attivato dal pannello in alto sullo schermo.
在机械研究所中解锁以下升级：<n/><ul indent="2" text="▪"><li/>使掠夺者能容纳的金甲虫最大数从5只提高至10只。<li/>使金甲虫的爆炸溅射范围扩大25%。	Sblocca i seguenti potenziamenti al Laboratorio robotico:<n/><ul indent="2" text="•"><li/>Aumenta il numero massimo di Scarabei immagazzinabili dai Trilobiti da 5 a 10.<li/>Estende del 25% la portata dei danni radiali degli Scarabei.
在机械研究所中解锁以下升级：<n/><ul indent="2" text="▪"><li/>使掠夺者能容纳的金甲虫最大数从5只提高至10只。<li/>使金甲虫的爆炸溅射范围扩大25%。</ul>	Sblocca i seguenti potenziamenti al Laboratorio robotico:<n/><ul indent="2" text="•"><li/>Aumenta il numero massimo di Scarabei immagazzinabili dai Trilobiti da 5 a 10.<li/>Estende del 25% la portata dei danni radiali degli Scarabei.</ul>
在受到致命伤时，友方单位会暂时无敌一段时间，逃离死亡并恢复15%生命值和护盾。同一单位在4分钟内最多只能触发一次该效果。<n/><n/><c val="#ColorAttackInfo">被动技能。</c>	Rende invulnerabili le unità alleate per breve tempo quando subiscono danni letali, impedendone la morte e ripristinando il 15% di vita e scudi. Ogni unità può essere protetta una volta ogni 4 minuti.<n/><n/><c val="#ColorAttackInfo">Abilità passiva.</c>
使水晶塔能强化其能量场中的友方单位，暂时提高它们的移动和攻击速度。	I campi energetici dei Piloni potenziano le unità alleate al loro interno, aumentandone temporaneamente la velocità di movimento e d'attacco.
使亚顿之矛的护盾超载可吸收的伤害量由100点提高至200点。通过顶部面板来激活护盾超载。	Aumenta da 100 a 200 la quantità di danni assorbiti da Sovraccarico scudo della Lancia di Adun. Sovraccarico scudo può essere attivato dal pannello in alto sullo schermo.
解锁亚顿之矛的技能，在15秒内随机轰炸一处区域造成巨量伤害。通过顶部面板来激活太阳轰炸。	Consente alla Lancia di Adun di bombardare casualmente un'area, infliggendo ingenti danni in 15 secondi. Bombardamento solare può essere attivato dal pannello in alto sullo schermo.
