非晶态装甲云	Blindagem Nebulosa Amorfa
<s val="CampaignPanelLastMissionTitle">任务包#2已完成！</s><n/><n/><s val="CampaignPanelLastMissionDescription">~SUMMARY~</s><n/><n/><n/><s val="CampaignPanelItemTitle">任务已完成：</s> <s val="CampaignPanelItemText">~MISSIONSCOMPLETE~</s><n/><s val="CampaignPanelItemTitle">难度：</s> <s val="CampaignPanelItemText">~DIFFICULTY~</s>	<s val="CampaignPanelLastMissionTitle">PACOTE DE MISSÕES 2 COMPLETADO!</s><n/><n/><s val="CampaignPanelLastMissionDescription">~SUMMARY~</s><n/><n/><n/><s val="CampaignPanelItemTitle">MISSÕES COMPLETADAS:</s> <s val="CampaignPanelItemText">~MISSIONSCOMPLETE~</s><n/><s val="CampaignPanelItemTitle">DIFICULDADE:</s> <s val="CampaignPanelItemText">~DIFFICULTY~</s>
开始任务~A~	Iniciar missão ~A~
<s val="CampaignPanelLastMission">上一个任务</s><n/><s val="CampaignPanelLastMissionTitle">~D~</s><n/><n/><s val="CampaignPanelLastMissionDescription">~A~</s><n/><n/><n/><s val="CampaignPanelItemTitle">完成任务：</s> <s val="CampaignPanelItemText">~B~</s><n/><s val="CampaignPanelItemTitle">难度：</s> <s val="CampaignPanelItemText">~C~</s>	<s val="CampaignPanelLastMission">ÚLTIMA MISSÃO</s><n/><s val="CampaignPanelLastMissionTitle">~D~</s><n/><n/><s val="CampaignPanelLastMissionDescription">~A~</s><n/><n/><n/><s val="CampaignPanelItemTitle">MISSÕES CONCLUÍDAS:</s> <s val="CampaignPanelItemText">~B~</s><n/><s val="CampaignPanelItemTitle">DIFICULDADE:</s> <s val="CampaignPanelItemText">~C~</s>
<c val="00A050">~A~前可使用</c>	<c val="00A050">Disponível ~A~ atrás</c>
最小化	Minimizar
未初始化	Não inicializado
科技树	Diagrama tecnológico
游戏作弊码	Cheats do jogo
Placeholder Cinematic	Cinemática temporária
快速建造	Construção Rápida
给钱	Me dá
给玩家晶体矿和瓦斯	Concede ao jogador minério e vespeno
Tip Description not defined	Descrição da dica não definida
最大化	Maximizar
任务作弊	Cheats da missão
Handle Hero Death:  Custom revive structure is specified, but is not alive.  Aborting.	Tratar morte de herói: A estrutura de ressuscitação personalizada foi especificada, mas não está viva. Abortando.
Tip Name not defined	Nome da dica não definido
战役胜利	Vitória da Campanha
显示地图	Exibir mapa
按钮未找到	BOTÃO NÃO ENCONTRADO
诺娃正在你的指挥中心等候调遣。	Nova está na sua Central de Comando pronta para entrar em ação.
<c val="FF9800">诺娃的静滞晶壳已被摧毁。你必须建造一个指挥中心才能使其返回战场。</c>	<c val="FF9800">A Cápsula de Estase de Nova foi destruída. Você precisa construir uma Central de Comando para devolvê-la ao campo de batalha.</c>
-	-
上帝模式	Modo Deus
任务中途	Metade da missão
打开任务特定作弊窗口	Abra a janela de cheat específica da missão
科技树已解锁	Diagrama Tecnológico desbloqueado
冷却	Recarga
太阳能碎片不能在该地图中手动给予。请用该命令移除你的“给予玩家资源”调用。	A solarita não deve ser dada manualmente no mapa. Remova suas chamadas de "Dar recursos ao jogador" para isso.
解锁科技树需求	Desbloquear requerimentos de Diagrama Tecnológico
<c val="9BFFBE">诺娃已折跃出战场以免遭到致命伤害。你必须建造一个指挥中心才能使其返回战场。</c>	<c val="9BFFBE">Nova foi transdobrada do campo de batalha para evitar dano letal. Você precisa construir uma Central de Comando para devolvê-la ao campo de batalha.</c>
对话	Conversa
场景	Cenas
新对话可用。	Nova conversa disponível.
星系折跃准备就绪。	Viagem de transdobra pronta.
任务可用。	Missão disponível.
过滤：	Filtro:
无法从场景中获得对话	Não foi possível obter a conversa para a cena
英雄索引已经越界。增加最大英雄计数。	Índice de herói fora dos limites. Aumenta o número máximo de heróis.
[PH] REWARD TEST TOOLTIP	[PH] REWARD TEST TOOLTIP
装备该科技将会使其从该单位身上卸除。	Ao equipar, ela será removida da outra unidade.
<s val="StoryModeQuitToLobby">退出战役？</s>	<s val="StoryModeQuitToLobby">Sair da Campanha?</s>
可以装备给：	Pode ser equipado em:
雷格尔	Reigel
不可用	Indisponível
未装备	Não equipado
豪尔	Hall
单位名称	NOME DA UNIDADE
加载数据中……	Carregando dados...
已装备	Equipado
空闲	Disponível
头领	Alfa
任务统计	Estatísticas da missão
无物品	[PH] Sem item
胜利！	VITÓRIA!
Bonus objective info TBI	Informações do objetivo bônus TBI
???	???
未完成	Incompleto
0/0	0/0
点击继续来结束(<h/>C)	<h/>Prosseguir para o Final.
Allows you to directly select a mission and mark it as complete as normal. Previous missions are completed based on a fixed path. The fixed path goes left, right, center column in the mission tree.	Permite a você selecionar diretamente uma missão e marcá-la como concluída da forma normal. As missões anteriores são completadas com base numa trajetória fixa. A trajetória fixa vai para a coluna da esquerda, da direita e do centro na árvore de missões.
未分配	Não designada
升级科技	Aprimora a tecnologia
返回基地(<h/>T)	Retornar <h/>para a base
装备科技	Equipamento Tecnológico
单位升级	Aprimoramentos de Unidades
诺娃战役不能用该作弊命令完成。	A campanha de Nova não pode ser completada com este cheat.
可分配的单位：	Unidades designáveis:
重置	Redefinir
直接选择任务	Seleção de Missão Direta
奖励目标完成：	Objetivos bônus concluídos:
返回档案室(<h/>T)	Voltar <h/>para os Arquivos
<c val="DD0000">未解锁</c>	<c val="DD0000">Bloqueado</c>
随机选择部队分配和亚顿之矛技能。	Escolhe aleatoriamente as unidades de Exército e as habilidades da Lança de Adun.
默认科技进程	Progresso Tecnológico Padrão
返回狮鹫号(<h/>T)	Retornar <h/>para Griffin
诺娃战役	CAMPANHA DE NOVA
新装备	Novo Equipamento
新物品	Novo item
新升级	Novo Aprimoramento
任务目标已完成	Objetivos da missão completados
重播信息	Reproduzir mensagem
为你的部队单位选择科技	Selecione a tecnologia para as suas unidades de exército
单位科技	Tecnologia de Unidade
配装	Equipamento
头盔	Capacete
罗瑞·斯旺	Rory Swann
选择一件物品进行装备并了解详细介绍。	Selecione um item para equipá-lo e saber mais.
为诺娃选择装备	Selecione o equipamento para Nova
服装	Traje
装备	Equipamento
为你的下一关任务选择装备	Selecione o equipamento para a próxima missão
武器	Armamento
正在验证...	Autenticando...
特工X41822N	Agente X41822N
成功	Bem-sucedido
选择一项	Selecione
<s val="NovaMissionMapFlavorTitle">帝国军基地</s><s val="NovaMissionMapFlavorSubtitle"></n>啸风山，伯利亚</n>海拔：2387米</s>	<s val="NovaMissionMapFlavorTitle">Base da Supremacia</s><s val="NovaMissionMapFlavorSubtitle"></n>Monte Altovento, Bórea</n>Elevação: 2.387 metros</s>
要塞	Guarnição
<s val="NovaMissionMapFlavorTitle">塔桑尼斯城</s><s val="NovaMissionMapFlavorSubtitle"></n>前联邦首都</n>废弃于2500年</s>	<s val="NovaMissionMapFlavorTitle">Tarsonis</s><s val="NovaMissionMapFlavorSubtitle"></n>Antiga capital confederada</n>Abandonado em 2500</s>
一年一度的驭浪™冲浪赛将在AJ沙滩隆重举行。这场赛事届时将由UNN进行电视转播，比较尴尬的是比赛时间正好与泰拉多尔的角鲸交配季撞期。	A competição anual Hora do Surfe™ acontece na praia A & J. O evento é transmitido ao vivo pela UNN, e o horário coincide com a temporada de acasalamento dos narvais de Tyrador.
AJ沙滩	Praia A & J
人类保卫者部队正驻守着体育场东面的这一处要地，保护幸存者免遭异虫的袭击。	As tropas dos Defensores do Homem estão defendendo um ponto a leste do estádio para impedir que os zergs cheguem aos sobreviventes.
保卫者要塞	Fortificações dos Defensores
这座岛上地势最高的这块要地可以作为阻击异虫的中途站。	O ponto mais alto da ilha servirá de ponto de interceptação dos zergs.
基地位置	Local da Base
诺娃和少量女妖战机将向这里发起一次战术打击，直至敌方增援抵达。	Nova e um pequeno número de vudus vão iniciar um ataque tático aqui até os reforços do inimigo chegarem.
突击位置	Local do Primeiro Ataque
渔人营地会在最热的旅游旺季期间，举办钓鱼和潜水有奖比赛。	O Quartel do Pescador realiza viagens de pescaria e de mergulho premiadas na alta temporada.
渔人营地	Quartel do Pescador
海洋天堂酒店拥有泰拉多尔九号星最大的无边泳池，不过据说附近的帝国度假区也即将开始动工建设。	O hotel Paraíso do Oceano é famoso por ter a maior piscina infinita de Tyrador IX, embora haja boatos de que em breve começará a construção de uma no Resort e Suítes Imperial, um hotel vizinho.
海洋天堂酒店	Hotel Paraíso do Oceano
贝壳岛是短途旅客们最喜爱的一处旅游景点，因其有非常美丽的贝壳而闻名。退潮时，整座岛与大陆之间只有浅水之隔，游客们甚至可以徒步涉水登岛。	A Ilha da Concha é um destino popular para andarilhos. Famosa pelas suas belas conchas, a ilha fica separada do continente por águas rasas durante a maré baixa, o que permite os turistas cheguem até ela andando.
贝壳岛	Ilha da Concha
原本只对旧联邦大家族开放的日落棕榈酒店与游艇船坞，现在对所有人开放。	Outrora exclusivo das Famílias Antigas da Confederação, o Hotel e Marina Palmeiras Douradas agora é uma doca conveniente para todos.
日落棕榈酒店	Hotel Palmeiras Douradas
这座体育场原本是北滩角鲸颠球队的主场，如今却有上万游客与平民工人正在场内等待营救。	Milhares de turistas e trabalhadores civis estão esperando a evacuação do estádio, sede do time de padball dos Narvais da Costa Norte.
冲浪体育场	Estádio Beira-mar
异虫在西面登陆，并且在埃瑟卡罗海岸商店街与落日健步区建立了虫巢。	Os zergs chegaram numa posição a oeste daqui e estabeleceram colmeias no Elsecaro Praia Shopping e na Trilha do Pôr do Sol.
异虫部队	Forças Zergs
星罗棋布的洞穴遍布这颗星球的地表之下。得益于这一天然的安全环境，伽尔班鲸鸟就经常栖息于其中。	Uma série de cavernas de estende sob a superfície do planeta. Sabemos que os Planadores Jarbanos as habitam devido à segurança desse tipo de ambiente.
洞穴密布	Redes de Cavernas
扫描显示此处位置有一股微弱的信号。这里可能就是最后一次与尤摩扬研究人员联络的地点。	As varreduras mostram um sinal fraco emanando desse local. Pode ser o último ponto de contato conhecido dos pesquisadores Umojanos.
探测到求救呼叫	Sinal de Emergência Detectado
该区域已清空，方便建立基地。此处有足够的晶体矿与高能瓦斯，并且还有两处适合防御的关口。	Essa área foi limpa para facilitar a construção e conta com gás vespeno e minérios adequados, bem como dois gargalos defensivos.
空降区	Área de Lançamento
尤摩扬护国军曾派了一支科考队前来此地研究原生伽尔班鲸鸟。他们的设施利用生物作为一种采集地嗪的生物机械加工设备。	O Protetorado Umojano enviou uma colônia de pesquisa para cá para estudar os Planadores Jarbanos nativos. Os dispositivos deles usam essas criaturas como uma espécie de processador biomecânico de terrazino.
阿拉纳克的战士们集结此地准备与诺娃争夺地嗪控制权。他们的部队构成表明，他们的攻势将主要以空中打击为主。	Os guerreiros de Alarak se reuniram aqui para competir com Nova pelo controle do terrazino. As tropas deles indicam que estão planejando um ataque aéreo.
塔达林基地	Base Tal'darim
地嗪	[PH] Terrazine
记录显示，这片区域是尤摩扬二级采矿任务的集散中心。他们似乎一直在开采异乎寻常的晶体矿脉。	Os registros dizem que essa área é o centro de uma operação de mineração secundária umojana. Parece que andaram extraindo formações de cristais incomuns.
尤摩扬矿井	Minas Umojanas
尤摩扬在此处建立了一座科研站来协助他们的研究工作。从日志记录上来看，还有一些防御性机器人设备也被运到了这里。	Os Umojanos estabeleceram uma instalação científica aqui para ajudar com a pesquisa. Alguns equipamentos robóticos de defesa foram enviados para cá, de acordo com os registros.
尤摩扬科研站	Instalação Científica Umojana
“艾因科恩”是一支刚刚被收购的颠球球队，原本安达萨体育场将要成为他们的主场场地，但是在他们刚刚抵达之后就遭到了异虫袭击。至今没有一人的尸体被辨认出来。	O Estádio Andasariano iria receber os Einkorns — um time de padball comprado recentemente —, mas o ataque zerg ocorreu logo depois da chegada deles. Nenhum dos corpos foi identificado.
安达萨体育场	Estádio Andasariano
城市码头曾是安提加最繁忙的区域，每天有大量的军用与民用舰船在此往返。这些货箱会被转运到一个代号为“10号仓库”的中转站。	As docas da cidade eram as mais fervilhantes de Antiga, recebendo muitos carregamentos comerciais e militares. Esses caixotes estavam sendo transportados para um local intermediário apelidado de "Depósito 10".
城市码头	Docas da Cidade
源自于诺娃的回忆。它们的重要性目前尚不可知。	Das lembranças de Nova. Ainda não se sabe o que significam.
记忆坐标	Coordenadas da Memória
虽然目前已被感染者占据，但这里却是调查这些坐标的理想基地。上方和右侧区域需要布置防御。	Está ocupada por infestadores, mas tem a posição ideal para investigar as coordenadas. É necessário estabelecer defesas em cima e do lado direito.
在遇袭之前，整个新安达萨城都是由这条地铁连接的。如今部分路段已经被感染体阻碍。	Antes do ataque, a cidade inteira de Nova Andasar era conectada pelo metrô. Agora partes dele bloqueadas pela infestação.
