非晶态装甲云	Amorphe Deckungswolke
在雷兽窟中解锁以下升级：<n/><ul indent="2" text="▪"><li/>解锁雷兽的潜地冲锋技能。雷兽会潜入地下并冲向一个敌方单位。<li/>升级雷兽的普通攻击，使其能将所造成伤害的40%转化为自身的治疗量。</ul>	Schaltet die folgenden Upgrades in der Ultraliskenhöhle frei:<n/><ul indent="2" text="•"><li/>Gewährt Ultralisken die Fähigkeit "Untertunneln". Der Ultralisk gräbt sich ein und stürmt unterirdisch auf eine gegnerische Einheit zu.<li/>Verbessert die Angriffe von Ultralisken, sodass sie um 40% des verursachten Schadens heilen.</ul>
范围伤害伏击单位。必须潜地后才能发动攻击。由刺蛇变异而来。<n/><n/><c val="ffff8a">可以对地。</c>	Angreifer aus dem Hinterhalt mit Flächenschaden. Muss sich zum Angreifen eingraben. Metamorphose vom Hydralisken.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
将凯瑞甘的跳虫升级为腾跃虫变种。<n/><n/>迅捷的肉搏型生物，可以越过障碍物迅速接近目标。造成更高的伤害。<n/><n/><c val="FFFF8A">可以对地。</c>	Verbessert Zerglinge zur Gattung Raptor.<n/><n/>Schnelle Nahkampfeinheit. Springt aus der Entfernung auf Gegner zu und über Hindernisse hinweg. Verursacht erhöhten Schaden.<n/><n/><c val="FFFF8A">Kann Bodeneinheiten angreifen.</c>
在分裂池中解锁以下升级：<n/><ul indent="2" text="▪"><li/>跳虫生命值由35提高到45。<li/>跳虫的攻击会使敌人的护甲降低到0，持续10秒。</ul>	Schaltet die folgenden Upgrades im Brutschleimpool frei:<n/><ul indent="2" text="•"><li/>Erhöht die Trefferpunkte von Zerglingen von 35 auf 45.<li/>Die Angriffe von Zerglingen verringern die Panzerung des Ziel 10 Sek. lang auf 0.</ul>
蒙斯克征召帝国劳工而不是SCV来工作，征召帝国冲锋队而不是陆战队员来战斗。他的皇家卫队可以不断升级，获得新的能力和提升现有能力。	Mengsk beruft Liga-Arbeiter anstelle von WBFs zur Arbeit ein und schickt Ligamiliz-Einheiten statt Space-Marines in den Kampf. Seine Einheiten der Imperialen Wache können Ränge aufsteigen und erhalten dadurch verbesserte und neue Fähigkeiten.
冲锋队员可装备CPO-7火蜥火焰喷射器以及冰雹发射器。	Miliz-Einheiten können CPO-7-Salamander-Flammenwerfer und Hagelsturm-Raketenwerfer ausrüsten.
随机轰炸附近一处目标位置，对区域内的地面单位造成伤害。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Bombardiert den Bereich um das Ziel und fügt Bodeneinheiten Schaden zu.<n/><n/><c val="#ColorAttackInfo">Kann Bodeneinheiten angreifen.</c>
解锁可以发射试验性弹头的能力，随机朝附近一处目标区域发射大地碎裂炮。	Schaltet die Fähigkeit frei, experimentelle Munition von Nuklearsplitterartillerien aus abzufeuern, die zufällig in der Nähe eines Zielbereichs einschlagen.
“接受教导的劳工”、“接受教导的冲锋队员”以及皇家卫队提供帝国支持度，可以增加“天命皇权”产生的效率。解锁“放大电波”升级可以使“接受教导的劳工和冲锋队员”提供的帝国支持度数值加倍 (在聚变芯体中研究)。	Indoktrinierte Arbeiter, Miliz-Einheiten und die Imperiale Wache gewähren Imperiale Unterstützung, wodurch die Erzeugung von Imperialem Mandat erhöht wird. Schaltet das Upgrade "Verbesserte Longitudinalwellen" frei, das die Imperiale Unterstützung durch indoktrinierte Arbeiter und Miliz-Einheiten verdoppelt (wird im Fusionskern erforscht).
在工程站中解锁下列升级：<n/><ul indent="2" text="▪"><li/>使补给地堡内单位的射程进一步提高+1。<li/>大地碎裂炮的轰炸技能的射程增加+25。</ul>	Schaltet die folgenden Upgrades im Maschinendock frei:<n/><ul indent="2" text="•"><li/>Erhöht die Reichweite von Einheiten in Versorgungsbunkern um weitere +1.<li/>Erhöht die Reichweite der Fähigkeit "Bombardement" der Nuklearsplitterartillerie um +25.</ul>
战争恶犬现在会在更高等级的“天命皇权”状态下部署额外的异龙和雷兽。	Hunde des Krieges setzt bei hohem Imperialen Mandat zusätzliche Mutalisken und Ultralisken ein.
解锁下列升级：<n/><ul indent="2" text="▪"><li/>“壁垒卫士”的攻击可以减速敌方单位 (在皇家军校中研究)。<li/>攻城模式下的“冲击分队”在被“帝国仲裁机”吊挂在空中时可以朝敌方空中单位开火 (在军械库中研究)。<li/>提高“天空之怒”的飞行速度 (在聚变芯体中研究)。</ul>	Schaltet die folgenden Upgrades frei:<n/><ul indent="2" text="•"><li/>Ermöglicht Aegiswachen, gegnerische Einheiten mit ihrem Angriff zu verlangsamen (wird in der Imperialen Akademie erforscht).<li/>Ermöglicht Schockdivisionen, im Belagerungsmodus auf gegnerische Lufteinheiten zu feuern, während sie von Imperialen Boten transportiert werden (wird im Waffenlager erforscht).<li/>Erhöht die Bewegungsgeschwindigkeit von Himmelszornen (wird im Fusionskern erforscht).</ul>
皇家卫队重型攻击机甲。可以使用“掩护射击模式”。在重工厂中建造。<n/><n/><c val="#ColorAttackInfo">可以对空和对地。</c>	Schwerer Angriffskampfläufer der Imperialen Wache. Kann die Fähigkeit "Überwachungsmodus" einsetzen.<n/><n/><c val="#ColorAttackInfo">Kann Boden- und Lufteinheiten angreifen.</c>
解锁新技能，从天上降下一轮战术导弹雨，最后还有一枚核子飞弹尾随其后。在顶部面板中激活核弹天劫。	Ermöglicht das Anfordern eines Schwarms Taktischer Raketen gefolgt von einer Nuklearrakete. "Nukleare Auslöschung" kann über die obere Konsole angefordert werden.
辐射打击命中时会恐惧敌方单位，迫使他们惊恐乱窜。	"Kontaminationsschlag" versetzt gegnerische Einheiten beim Einschlag in Angst und Schrecken, wodurch sie panisch umherlaufen.
核弹天劫降下的战术飞弹数量从20枚提高至40枚。	Erhöht die Anzahl Taktischer Raketen der Fähigkeit "Nukleare Auslöschung" von 20 auf 40.
解锁下列升级：<n/><ul indent="2" text="▪"><li/>允许“元首鬼影”发射战术飞弹打击且不用引导 (在皇家军校中研究)。<li/>“黑色战锤”对驻扎在它们身下的单位提供3点护甲 (在军械库中研究)。<li/>“奥古斯格勒的骄傲”向附近友方远程地面单位提供+1射程 (在聚变芯体中研究)。</ul>	Schaltet die folgenden Upgrades frei:<n/><ul indent="2" text="•"><li/>Ermöglicht es Schatten des Imperators, die Fähigkeit "Taktisches Bombardement" ohne Kanalisieren einzusetzen (wird in der Imperialen Akademie erforscht).<li/>Nachthämmer gewähren nahen Einheiten +3 Panzerung (wird im Waffenlager erforscht).<li/>Stolz von Augustgrad gewährt nahen Fernkampf-Bodeneinheiten +1 Angriffsreichweite (wird im Fusionskern erforscht).</ul>
皇家卫队现在可以升至三阶军衔，获得下列能力：<n/><ul indent="2" text="▪"><li/>“壁垒卫士”可以大幅提高他们的攻击速度。<li/>“元首鬼影”的“焰能爆燃”在目标死亡时会触发一次爆炸。敌方单位受到“元首鬼影”的EMP震爆的伤害等同于其被抽取的能量值。<li/>提高“冲击分队”在攻城模式下的火炮轰击范围。<li/>提高“黑色战锤”在掩护射击模式下的攻击速度。<li/>给予“天空之怒”在战机模式下有一定几率闪避敌人的攻击。当“天空之怒”在机甲模式下承受致命伤害时，它们会变形切换至战机模式并获得一个屏障。<li/>允许“奥古斯格勒的骄傲”连续快速发射三次大和炮。</ul>	Einheiten der Imperialen Wache können jetzt Rang 3 erreichen, der folgende Fähigkeiten freischaltet:<n/><ul indent="2" text="•"><li/>Aegiswachen können ihre Angriffsgeschwindigkeit stark erhöhen.<li/>Die Fähigkeit "Pyrokinetische Verbrennung" von Schatten des Imperators lässt Ziele beim Tod explodieren. Die Fähigkeit "EMP-Schlag" verursacht Schaden in Höhe der entzogenen Energiepunkte.<li/>Erhöht den Radius des Flächenschadens von Schockdivisionen im Belagerungsmodus.<li/>Erhöht die Angriffsgeschwindigkeit von Nachthämmern im Überwachungsmodus.<li/>Himmelszorne haben im Kampffliegermodus eine Chance, gegnerischen Angriffen auszuweichen. Wenn sie im Sturmmodus tödlichen Schaden erleiden, werden sie in den Kampffliegermodus transformiert und erhalten eine Barriere.<li/>Lässt die Fähigkeit "Yamato-Kanone" der Stolz von Augustgrad schnell dreimal hintereinander feuern.</ul>
精炼厂无需SCV即可自动采集高能瓦斯。	Raffinerien bauen automatisch Vespingas ab. Dafür werden keine WBFs benötigt.
在星港的科技实验室中解锁以下升级：<n/><ul indent="2" text="▪"><li/>解锁隐秘女妖的火箭弹幕技能，对目标区域内的所有敌方地面单位造成伤害。<li/>掠袭解放者的变形速度更快。<li/>掠袭解放者可以在防卫模式下攻击建筑。</ul>	Schaltet die folgenden Upgrades im Tech-Labor des Raumhafens frei:<n/><ul indent="2" text="•"><li/>Schaltet die Fähigkeit "Raketenbeschuss" der Tarnkappen-Banshees frei, die allen feindlichen Bodeneinheiten im Zielbereich Schaden zufügt.<li/>Ermöglicht Sturmfalken, sich schneller zu transformieren.<li/>Ermöglicht Sturmfalken, im Verteidigungsmodus Gebäude anzugreifen.</ul>
在兵营的科技实验室中解锁以下升级：</n><ul indent="2" text="▪"><li/>解锁精英陆战队员的超级强化剂技能，可在一定时间内持续对其治疗，并提高他们的攻击和移动速度。<li/>为劫掠者突击手装备一项额外武器，攻击他们的当前目标。</ul>	Schaltet die folgenden Upgrades im Tech-Labor der Kaserne frei:</n><ul indent="2" text="•"><li/>Schaltet die Fähigkeit "Super-Stimpack" der Elite-Marines frei, die ihre Angriffs- und Bewegungsgeschwindigkeit erhöht und sie im Verlauf des Effekts heilt. <li/>Gewährt Kommando-Marodeuren eine zusätzliche Waffe, die ihr aktuelles Ziel angreift.</ul>
诺娃的补给上限只有100点，但她的单位和建筑拥有更高的生命值与伤害，而且对昏迷效果具有抵抗力。可以立即向战场部署训练有素的单位。	Novas Versorgungsmaximum liegt bei 100, aber ihre Einheiten und Gebäude haben mehr Trefferpunkte und sind widerstandsfähig gegenüber Betäubungen. Ausgebildete Einheiten erscheinen sofort auf dem Schlachtfeld.
使诺娃的防御无人机最大充能次数提高2次，冷却时间缩短30秒。	Erhöht die maximale Anzahl an Aufladungen von Novas Fähigkeit "Verteidigungsdrohne" um 2 und verringert die Abklingzeit um 30 Sek.
在重工厂科技实验室中解锁以下升级：</n><ul indent="2" text="▪"><li/>使恶蝠游骑兵可以跃向敌方地面单位并将其击晕。<li/>使强击歌利亚可以击晕敌方空中机械单位，并使其侦测能力失效。<li/>使重型攻城坦克在攻城模式下的射程逐步提高。</ul>	Schaltet die folgenden Upgrades im Tech-Labor der Fabrik frei:</n><ul indent="2" text="•"><li/>Erlaubt Ranger-Kampfhellions, zu feindlichen Einheiten zu springen und sie beim Aufprall zu betäuben.<li/>Erlaubt Taktischen Goliaths, feindliche mechanische Lufteinheiten zu betäuben und ihre Detektorfähigkeiten zu verhindern.<li/>Erhöht die Angriffsreichweite des Schweren Belagerungspanzers im Belagerungsmodus mit der Zeit.</ul>
在幽灵军校中解锁以下升级：<n/><ul indent="2" text="▪"><li/>诺娃使用狙杀消灭一名单位可以返还50%的技能能量消耗。<li/>提高诺娃的穿透爆弹射程。</ul>	Schaltet die folgenden Upgrades in der Ghost-Akademie frei:<n/><ul indent="2" text="•"><li/>Erlaubt Nova, 50% der Energiekosten der Fähigkeit "Scharfschütze" zurückerstattet zu bekommen, wenn sie damit eine Einheit tötet.<li/>Erhöht die Reichweite von Novas Fähigkeit "Durchbohrendes Feuer".</ul>
使诺娃防御无人机的最大充能次数增加2次，冷却时间缩短30秒。	Erhöht die maximale Anzahl an Aufladungen von Novas Fähigkeit "Verteidigungsdrohne" um 2 und verringert die Abklingzeit um 30 Sek.
潜行模式与突击模式的冷却时间缩短15秒。诺娃在切换模式后可获得最大能量值。</n></n>切换至潜行模式后可获得临时性的无敌效果，切换至突击模式后可获得临时性的伤害加成效果。	Verringert die Abklingzeit der Tarn- und der Kampfausrüstung um 15 Sek. Nova erhält 100% Energie, wenn sie die Ausrüstung wechselt.</n></n> Der Wechsel zur Tarnausrüstung macht sie vorübergehend unverwundbar. Der Wechsel zur Kampfausrüstung erhöht vorübergehend Novas Schaden.
[PH] Unlocks the Barrage ability on the Odin.	Schaltet die Fähigkeit "Sperrfeuer" für den Odin frei.
在星港的科技实验室中解锁以下升级：<n/><ul indent="2" text="▪"><li/>提高铁鸦II型生物机械修理无人机的治疗效果，并使受到其治疗的单位进入隐形状态。<li/>允许铁鸦II型可以为其各项技能储存2次额外蓄能。	Schaltet die folgenden Upgrades im Tech-Labor des Raumhafens frei:<n/><ul indent="2" text="•"><li/>Erhöht die Heilung der Biomechanischen Reparaturdrohne des Raven Typ II und erlaubt ihr, Einheiten zu tarnen, während sie sie heilt.<li/>Die Fähigkeiten des Raven Typ II können jeweils zwei weitere Aufladungen speichern.
科技实验室和幽灵军校的升级研究时间与消耗减少50%。	Verringert Zeit und Kosten für das Erforschen von Upgrades in Tech-Laboren und der Ghost-Akademie um 50%.
解锁兵营科技实验室中的一项升级，使特战幽灵在使用狙击时可以进行两次额外射击。</n></n>还会解锁幽灵军校中的一项升级，可以提高诺娃的生命恢复速度。	Schaltet im Tech-Labor der Kaserne ein Upgrade frei, das Infiltrator-Ghosts erlaubt, beim Einsatz von "Scharfschütze" zwei zusätzliche Schüsse abzufeuern.</n></n>Schaltet in der Ghost-Akademie ein Upgrade frei, das Novas Trefferpunktregenerationsrate erhöht.
[PH] Nova Trait 1 Tooltip	[PH] Nova Trait 1 Tooltip
[PH] Nova Trait 3 Tooltip	[PH] Nova Trait 3 Tooltip
解锁呼叫狮鹫号技能，可沿一条选定的路线投放多枚炸弹。通过顶部面板来呼叫狮鹫号。	Ermöglicht das Anfordern der Griffin, die auf ihrer Flugbahn mehrere Explosionen auslöst. Die Griffin kann über die obere Konsole angefordert werden.
解锁在战场上切换两套装备的能力。诺娃的每套装备都配备不同的技能与武器。	Ermöglicht das Wechseln zwischen zwei Ausrüstungen auf dem Schlachtfeld. Mit jeder Ausrüstung hat Nova andere Fähigkeiten und eine andere Waffe.
解锁呼叫狮鹫号将部队快速运送至目标位置的能力。通过顶部面板来呼叫狮鹫号。	Ermöglicht das Anfordern der Griffin, die Ihre Einheiten schnell zu einem Zielort transportieren kann. Die Griffin kann über die obere Konsole angefordert werden.
解锁战术聚变打击能力，使诺娃可以在潜行模式下呼叫聚变打击。</n></n>还会解锁全息诱饵技能，使诺娃可以在突击模式下制造一个可以自行攻击的全息复制体。	Schaltet die Fähigkeit "Taktischer Nuklearschlag" frei, mit der Nova in Tarnausrüstung eine Nuklearrakete anfordern kann.</n></n>Schaltet auch die Fähigkeit "Holoattrappe" frei, mit der Nova in Kampfausrüstung ein Hologramm von sich erzeugen kann, das automatisch angreift.
[PH] Deploy Odin ability unlocked on the top bar.	Die Fähigkeit "Odin einsetzen" wurde in der oberen Konsole freigeschaltet.
<s val="Coop_Prestige_Advantage">优点</s><n/>无<n/><n/><s val="Coop_Prestige_Disadvantage">缺点</s><n/>无	<s val="Coop_Prestige_Advantage">Vorteil</s><n/>Keiner<n/><n/><s val="Coop_Prestige_Disadvantage">Nachteil</s><n/>Keiner
<s val="Coop_Prestige_Advantage">优点</s><n/>战斗单位可以额外持有25层生物质，并且在死亡时有额外50%的几率掉落他们的生物质。<n/><n/><s val="Coop_Prestige_Disadvantage">缺点</s><n/>终极进化不可用。	<s val="Coop_Prestige_Advantage">Vorteil</s><n/>Kampfeinheiten können 25 Biomasse zusätzlich tragen und haben eine um 50% erhöhte Chance, beim Tod ihre Biomasse zu hinterlassen.<n/><n/><s val="Coop_Prestige_Disadvantage">Nachteil</s><n/>"Ultimative Evolution" ist nicht verfügbar.
<s val="Coop_Prestige_Advantage">优点</s><n/>蝗虫的攻击射程、移动速度和持续时间提高50%。深槽虫道的升级不再需要主巢，不再需要视野，并且蟑螂和破坏者可以使用。 <n/><n/><s val="Coop_Prestige_Disadvantage">缺点</s><n/>战斗单位增加25%的高能瓦斯消耗。	<s val="Coop_Prestige_Advantage">Vorteil</s><n/>Schrecken haben 50% mehr Angriffsreichweite, Bewegungsgeschwindigkeit und Dauer. Das Upgrade "Tiefentunnel" benötigt keinen Schwarmstock mehr, kann von Schaben und Verheerern eingesetzt werden und benötigt keine Sicht mehr. <n/><n/><s val="Coop_Prestige_Disadvantage">Nachteil</s><n/>Kampfeinheiten kosten 25% mehr Vespingas.
