Amorphous Armorcloud	무정형 방어구름
The Pack Leaders and Primal Wurms gain new abilities:<n/><ul indent="2" text="•"><li/>Glevig gains a flame breath that deals area damage.<li/>Murvar also spawns explosive creepers.<li/>Dakrun reflects damage to enemy attackers.<li/>Primal Wurms and Greater Primal Wurms gain the ability to project a powerful stream of acid.</ul>	무리 우두머리와 원시 벌레가 새로운 능력을 얻습니다.<n/><ul indent="2" text="•"><li/>글레빅이 범위 피해를 주는 화염 숨결 능력을 얻습니다.<li/>멀바르가 폭발성 땅무지를 생성합니다.<li/>다크룬이 적 공격자에게 피해를 반사합니다.<li/>원시 벌레와 거대 원시 벌레가 강력한 산을 발산하는 능력을 얻습니다.</ul>
Units can be commanded to engage in primal combat to force evolutions. Unlocks the following new evolutions:<n/><ul indent="2" text="•"><li/>Primal Ultralisks can evolve into Tyrannozors. <li/>Tyrannozors gain an ability that deals area damage.</ul>	유닛들에게 원시 전투를 펼치게 하여 승리한 유닛을 진화시킬 수 있습니다. 새로운 진화 해제:<n/><ul indent="2" text="•"><li/>원시 울트라리스크가 티라노조르로 진화할 수 있습니다.<li/>티라노조르가 범위 피해를 주는 능력을 얻습니다.</ul>
Dehaka's maximum level increases from 12 to 14 and unlocks the following mutation choices for Dehaka:<n/><ul indent="2" text="•"><li/>Passively heal nearby friendly units.<li/>Can attack air units.</ul>	데하카의 최고 레벨이 12에서 14로 증가하고 새로운 변이가 해제됩니다.<n/><ul indent="2" text="•"><li/>지속적으로 주위 아군 유닛을 치유합니다.<li/>공중 유닛을 공격할 수 있습니다.</ul>
Unlocks the following upgrades at Murvar and Dakrun's Dens:<n/><ul indent="2" text="•"><li>Primal Ultralisk and Tyrannozor attacks have a chance to stun enemies.</li><li>Tyrannozor grants nearby friendly units extra armor.</li><li>Creeper Host Creepers gain increased movement speed and can target air units.</li></ul>	멀바르와 다크룬의 굴에서 다음 업그레이드를 해제합니다.<n/><ul indent="2" text="•"><li>원시 울트라리스크와 티라노조르의 공격이 일정 확률로 적을 기절시킵니다.</li><li>티라노조르가 주위의 아군 유닛에게 추가 방어력을 부여합니다.</li><li>땅무지 숙주의 이동 속도가 증가하고 공중 유닛을 대상으로 지정할 수 있습니다.</li></ul>
Dehaka's maximum level increases from 14 to 15 and Dehaka starts with an additional mutation point.	데하카의 최대 레벨이 14에서 15로 증가하고 데하카가 변이 점수 하나를 추가로 갖고 시작합니다.
Primal combat evolutions have a chance to mutate, providing permanent passive bonuses that can increase life, attack speed, grant life leech, and more.	원시 전투 진화는 일정 확률로 생존자를 변이시켜 체력 증가, 공격 속도 증가, 생명력 착취 등의 영구한 지속 효과를 부여합니다.
Fenix can warp in anywhere on the battlefield using multiple Armor Suit configurations. Armor Suits only regenerate life and energy while not active on the field.<n><n>The cost of Fenix's combat units is reduced by 20%.	피닉스는 다양한 전투복 설정을 이용해서 전장 어디로든 소환될 수 있습니다. 전투복은 전장에서 활성화되지 않은 동안에만 체력과 에너지가 회복됩니다.<n><n>피닉스의 전투 유닛은 비용이 20% 감소합니다.
AI Champions gain attack and movement speed (10% per supply) each time host shells of their type are destroyed, or a 50% speed increase when they transfer into new a new host shell. Speed increases can stack up to 100% and last for 20 seconds if not refreshed.	용사의 인공지능이 담긴 유닛과 같은 유형의 유닛이 파괴될 때마다 공격 및 이동 속도가 증가(보급품당 10%)하고, 용사의 인공지능을 다른 유닛으로 이전하면 이동 속도가 50%만큼 증가합니다. 속도 증가 효과는 100%까지 중첩되고 갱신되지 않으면 20초 동안 지속됩니다.
Unlocks the following upgrades:<n/><ul indent="2" text="•"><li/>Disruptors become permanently cloaked (Researched at the Robotics Bay)<li/>Disruptor Purification Nova explodes twice (Researched at the Robotics Bay)<li/>Conservator Protective Field duration increased by 100% (Researched at the Cybernetics Core)</ul>	다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>분열기가 영구 은폐합니다. (로봇공학 지원소에서 연구)<li/>분열기가 정화 폭발이 두 번 폭발합니다. (로봇공학 지원소에서 연구)<li/>보전기의 보호장 지속 시간이 100%만큼 증가합니다. (인공제어소에서 연구)</ul>
Each AI Champion's special ability gains a bonus for each active host shell of the same type (up to 20 supply).	피닉스가 조종하는 유닛과 같은 유형의 유닛 하나당(최대 20 보급품) 인공지능 용사 각각의 특수 능력이 강화됩니다.
Production and tech structures no longer have tech requirements, have their mineral costs reduced by 50%, and have their gas costs reduced by 100%.	생산 및 기술 구조물에 기술 요구 사항이 없어지고, 광물 비용이 50%만큼 감소하며, 가스 비용이 100%만큼 감소합니다.
Fenix Armor Suits that are currently offline regenerate health and shields 20% faster.	오프라인 상태인 피닉스의 전투복은 체력과 보호막이 20% 더 빠르게 회복됩니다.
Unlocks the following upgrades at the Twilight Council:<n/><ul indent="2" text="•"><li/>Kaldalis' attacks deal area damage<li/>Talis' Ricochet Glaive bounces 5 additional times and causes affected units to take bonus damage</ul>	황혼 의회에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>칼달리스의 공격이 범위 피해를 줍니다.<li/>탈리스의 쐐기 유탄이 5회 추가로 튕기고 영향을 받은 적이 추가 피해를 받게 만듭니다.</ul>
Unlocks the following upgrades:<n/><ul indent="2" text="•"><li/>Taldarin's attacks store damage on enemies which is released and does area damage when the unit is killed (Researched at the Robotics Bay)<li/>Allows Mojo to fire a barrage of Anti-Matter Missiles (Researched at the Fleet Beacon)</ul>	다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>탈다린의 공격이 적에게 피해를 축적시키고 대상이 죽으면 축적된 피해가 폭발하여 범위 피해를 줍니다. (로봇공학 지원소에서 연구)<li/>모조가 반물질 미사일을 퍼붓습니다. (함대 신호소에서 연구)</ul>
Unlocks the following upgrades:<n/><ul indent="2" text="•"><li/>Warbringer gains the ability to fire a devastating blast at an enemy unit (Researched at the Robotics Bay)<li/>Clolarion can build Interdictors to bomb enemy units (Researched at the Fleet Beacon)</ul>	다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>전쟁인도자가 적 유닛에게 파괴적인 폭발을 날립니다. (로봇공학 지원소에서 연구)<li/>클로라리온이 금제기를 생성해 적 유닛에 폭격을 가합니다. (함대 신호소에서 연구)</ul>
Unlocks the following upgrades at the Forge:<n/><ul indent="2" text="•"><li/>All Fenix Armor Suits gain +15 attack damage<li/>Fenix's Cybros Arbiter Suit gains detection</ul>	제련소에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>피닉스의 모든 전투복 공격력이 +15만큼 증가합니다.<li/>피닉스의 사이브로스 중재자 전투복이 탐지 능력을 얻습니다.</ul>
Unlocks Fenix's Cybros Arbiter suit. The Cybros Arbiter suit can cloak itself and nearby allies, Recall friendly units to its location, and use Stasis to disable enemy units.	피닉스의 사이브로스 중재자 전투복을 사용할 수 있습니다. 사이브로스 중재자 전투복은 자신과 주위 아군을 은폐시키고, 아군 유닛을 자신의 위치로 소환하며, 정지장을 사용해서 적 유닛을 무력화시킬 수 있습니다.
Robotic disruption unit. Can use Purification Nova to deal heavy area damage. Warped in at the Robotics Facility.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	로봇 분열 유닛입니다. 정화 폭발을 사용해서 막대한 범위 피해를 줄 수 있습니다. 로봇공학 지원소에서 소환할 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 공격 가능</c>
Unlocks additional AI personalities at the Purifier Conclave:<n/><ul indent="2" text="•"><li/>Taldarin - Immortal<li/>Mojo - Scout</ul>	정화자 대의회에서 인공지능을 추가로 해제합니다:<n/><ul indent="2" text="•"><li/>탈다린 - 불멸자<li/>모조 - 정찰기</ul>
Unlocks additional AI personalities at the Purifier Conclave:<n/><ul indent="2" text="•"><li/>Warbringer - Colossus<li/>Clolarion - Carrier</ul>	정화자 대의회에서 인공지능을 추가로 해제합니다:<n/><ul indent="2" text="•"><li/>전쟁인도자 - 거신<li/>클로라리온 - 우주모함</ul>
Unlocks the Purifier Conclave structure, allowing you to research the AI Personalities of Protoss heroes. Once researched, these AI Personalities will automatically download into any available host unit.<n><n>AI Personalities unlocked:<n><ul indent="2" text="•"><li/>Kaldalis - Legionnaire<li/>Talis - Adept	정화자 대의회 구조물을 해제하여 프로토스 영웅들의 인공지능을 연구할 수 있게 합니다. 연구를 마치면, 이 인공지능들이 사용 가능한 숙주 유닛으로 자동으로 다운로드됩니다.<n><n>인공지능 해제:<n><ul indent="2" text="•"><li/>칼달리스 - 군단병<li/>탈리스 - 사도
When friendly units are killed, they drop resources for the commander of those units. Matt Horner starts with a Starport that can train elite aircraft.	유닛이 죽으면 해당 유닛의 사령관이 획득할 수 있는 자원이 떨어집니다. 맷 호너는 정예 항공기를 훈련할 수 있는 우주공항과 함께 시작합니다.
Unlocks the Strike Fighter Platform and Precision Strike ability. Launches a Strike Fighter to perform an airstrike against a targeted enemy or location.	타격 전투기 플랫폼과 정밀 타격 능력을 사용할 수 있습니다. 타격 전투기를 날려 대상 적 또는 대상 지역에 공습을 가할 수 있습니다.
Unlocks the following upgrades:</n><ul indent="2" text="•"><li/>Assault Galleons can be individually upgraded with Hangar Bays that automatically build and launch Fighter Drones<li/>Theia Raven's Analyze Weakness can target 2 additional units</ul>	업그레이드 해제:</n><ul indent="2" text="•"><li/>각각의 강습 갈레온에 격납고를 장착해서 자동으로 강습 비행정을 생산하고 배치할 수 있습니다.<li/>테이아 밤까마귀의 약점 분석이 추가로 2기의 유닛을 대상으로 삼을 수 있습니다.</ul>
Unlocks the following upgrades at the Engineering Bay:</n><ul indent="2" text="•"><li/>Increases the movement speed of Reapers, and grants them the ability to fly for 10 seconds. <li/>Widow Mine range is increased by 50%, and can unburrow and burrow much faster.</ul>	공학 연구소에서 다음 업그레이드를 사용할 수 있습니다.</n><ul indent="2" text="•"><li/>사신의 이동 속도가 증가하고 10초 동안 비행 능력을 얻습니다.<li/>땅거미 지뢰의 사거리가 50%만큼 증가하고 잠복 및 잠복 해제 속도가 증가합니다.</ul>
Unlocks the ability to call in close planetary support from Horner's Armada. The Armada does massive damage to random enemy units in the target area.	가까운 행성에 있는 호너의 함대로부터 지원을 받습니다. 함대는 대상 지역의 무작위 적 유닛들에 막대한 피해를 줍니다.
Mira's Unit Build and Research times are reduced by 30%.	미라의 유닛 건설 및 연구 시간이 30%만큼 감소합니다.
Unlocks the following upgrades at the Starport Tech Lab:</n><ul indent="2" text="•"><li/>Wraith attack speed increases by 10% with each attack, up to a maximum of 100%<li/>Attacks from Vikings in Assault Mode pierce, dealing damage to enemy units behind the target. Viking transform time reduced by 75%</ul>	우주공항 기술실에서 다음 업그레이드를 사용할 수 있습니다.</n><ul indent="2" text="•"><li/>망령이 공격할 때마다 공격 속도가 10%만큼 증가하여 최대 100%만큼 증가합니다.<li/>돌격 모드 상태에서 바이킹의 공격이 대상을 관통하여 대상 뒤에 있는 적 유닛들에게 피해를 줍니다. 바이킹의 변신 속도가 75%만큼 감소합니다.</ul>
Supply Depots are upgraded with Dominion technology, increasing their health and supply by 100%.	보급고가 자치령 기술로 업그레이드되어 내구도와 보급품이 100%만큼 증가합니다.
Unlocks the following upgrades at the Engineering Bay:</n><ul indent="2" text="•"><li/>Allows the Hellion to use Tar Bombs that deal 20 damage and causes nearby enemies to have their movement speed reduced. <li/>Enables Hellbat attacks to cause enemies to burn.</ul>	공학 연구소에서 다음 업그레이드를 사용할 수 있습니다.</n><ul indent="2" text="•"><li/>화염차가 타르 폭탄을 사용해서 20의 피해를 주고 주위 적들의 이동 속도를 감소시킵니다.<li/>화염기갑병의 공격이 적들을 불태웁니다.</ul>
Unlocks the ability to use Space Station Reallocation. The Space Station deals 500 damage to Heroic targets it contacts, everything else is instantly destroyed. Assault Drones will attack nearby targets.	우주 정거장 투입 능력을 해제합니다. 우주 정거장은 접촉하는 영웅 대상에게 500의 피해를 주고, 그 외의 대상은 모두 즉시 파괴합니다. 강습 비행정이 주위의 대상을 공격합니다.
