Amorphous Armorcloud	無定型防護雲
Unlocks the following upgrades at the Armory:<n/><ul indent="2" text="•"><li/>Increase the attack range of all vehicles and ships by 1.<li/>Allow vehicles and ships to automatically heal themselves over time.</ul>	能在兵工廠研發下列升級：<n/><ul indent="2" text="•"><li/>所有載具與船艦的攻擊距離提高1格。<li/>載具與船艦會隨著時間自動恢復生命值。</ul>
Unlocks the ability to call down 4 A.R.E.S. War Bots with timed life, stunning enemy units in the target area upon arrival. Call down the Combat Drop from the top panel.	可空投4台有存在時間限制的『戰神』戰鬥機器人，使降落區域的敵方地面單位昏迷。可於頂端面板呼叫戰鬥快遞。
Unlocks the following upgrades at the Engineering Bay:<n/><ul indent="2" text="•"><li/>Allow structures to automatically extinguish fires and repair themselves to 50% of their maximum life.<li/>Increase attack speed of all Turrets by 25%.</ul>	能在電機工程所研發下列升級：<n/><ul indent="2" text="•"><li/>使建築物有自動滅火能力，並且會自動修復至最大生命值的50%。<li/>所有砲台的攻擊速度提高25%。</ul>
Unlocks the following upgrades at the Factory Tech Lab:<n/><ul indent="2" text="•"><li/>Allow Goliaths to attack ground and air units simultaneously.<li/>Increase the damage of the Cyclone's Lock On ability by 100%.<li/>Unlock the Thor's 330mm Barrage Cannon ability, which stuns and deals damage to enemies in a target area.</ul>	能在軍工廠的科技實驗室研發下列升級：<n/><ul indent="2" text="•"><li/>巨人可同時攻擊地面及空中單位。<li/>颶風飛彈車的鎖定目標技能可額外造成100%的傷害。<li/>解鎖雷神的330毫米彈幕加農砲，可震昏目標區域內的敵人並造成傷害。</ul>
Unlocks the ability for destroyed Thors and Siege Tanks to rebuild themselves on the battlefield.	讓毀壞的雷神和攻城坦克可在戰場上進行自我修復。
Increases the number of A.R.E.S. War Bots called down by Combat Drop from 4 to 6. Call down the Combat Drop from the top panel.	戰鬥快遞的『戰神』戰鬥機器人數量從4台提高為6台。可於頂端面板呼叫戰鬥快遞。
The Drakken Laser Drill can now be upgraded a second time, increasing its attack damage from 30 to 50.<n/><n/>Also unlocks the Pulse Cannon ability, which deals 600 damage to enemy units and structures in the target area. Activate the Pulse Cannon ability from the top panel.	可再次升級達肯雷射鑽洞機，攻擊傷害從30點提高為50點。<n/><n/>還能使用脈衝加農砲，對目標區域內的敵方單位及建築造成600點傷害。可於頂端面板啟動脈衝加農砲。
Allows multiple SCVs to build a structure in tandem, reducing its construction time. Repairing no longer costs resources.	讓複數太空工程車一起建造同一棟建築物，縮短建築時間。修復不消耗資源。
Increases the attack range of Devastation Turrets from 6 to 9. Attacks now slow enemy movement speed by 30%.<n/><n/>Increases the life of Missile Turrets from 250 to 325. Attacks now deal area damage.<n/><n/>Reduces the cost of Perdition Turrets by 50%.	毀滅砲台的攻擊距離從6格提高為9格，而且攻擊能使敵人的移動速度降低30%。<n/><n/>飛彈砲台的生命值從250點提高為325點，同時攻擊能造成範圍傷害。<n/><n/>地獄砲台的花費降低50%。
Increases the life of Swann's SCVs, vehicles, and starships by 20%.	史汪的太空工程車、載具和船艦生命值提高20%。
Combines Tech Labs and Reactors into a single add-on which contains upgrades for units while also allowing two units to be built simultaneously.	結合科技實驗室和科技反應爐功能的附屬建築，提供單位升級，並且可同時訓練或建造兩個單位。
Unlocks the following upgrades at the Starport Tech Reactor:<n/><ul indent="2" text="•"><li/>Upgrade Wraiths to evade 20% of incoming damage while cloaked.<li/>Unlock the Science Vessel's Defensive Matrix ability, which surrounds a target with a shield that absorbs 200 damage over 20 seconds.</ul>	能在星際港的科技反應爐研發下列升級：<n/><ul indent="2" text="•"><li/>亡靈戰機被偵察到時有20%的機率迴避攻擊。<li/>解鎖科學研究船的防禦矩陣技能，賦予目標單位能在20秒內吸收200點傷害的護盾。</ul>
Allows Swann to build Cyclones from the Factory.<n/><n/>Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="ffff8a">Can attack ground units.</c>	史汪可在軍工廠建造颶風飛彈車。<n/><n/>機動突擊載具。可以使用鎖定目標技能，在移動狀態下快速攻擊目標。<n/><n/><c val="ffff8a">可攻擊地面單位。</c>
Heavy assault mech. Built at the Factory.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	重型突擊機械。由軍工廠所製造。<n/><n/><c val="#ColorAttackInfo">可攻擊地面及空中單位。</c>
Swann builds SCVs, vehicles, and starships 20% faster than other Commanders. Factories and Armories do not cost vespene gas.	史汪建造太空工程車、載具和船艦的時間比其他指揮官快20%。建造軍工廠和兵工廠不會花費高能瓦斯。
Unlocks the ability for Command Centers to call down automated harvesters that gather extra vespene from your Refineries or your ally's vespene-gathering structures.	讓指揮中心能夠空投自動無人採集機。採集機可以前往你或盟友的高能瓦斯採集建築，採集額外的高能瓦斯。
<s val="Coop_TraitTooltip_Subtitle">Biomass</s><n/>Collect biomass from slain enemies to improve your minions and unleash monstrosities like the Brutalisk and Leviathan.	<s val="Coop_TraitTooltip_Subtitle">生物質</s><n/>從倒下的敵人身上採集生物質以強化你的部隊，並且朝敵人出動殘暴蟲和利維坦等龐然巨獸。
<s val="Coop_TraitTooltip_Subtitle">Mend</s><n/>Instantly heals friendly biological and mechanical units and structures. Additional life is also regenerated over time.	<s val="Coop_TraitTooltip_Subtitle">療癒</s><n/>立即治療友方生物單位、機械單位與建築，並且在一定時間內額外為其恢復生命值。
<s val="Coop_TraitTooltip_Subtitle">Toxic Nest</s><n/>Spawns a Toxic Nest that generates creep and can explode to deal damage to nearby ground enemies.	<s val="Coop_TraitTooltip_Subtitle">毒液蟲巢</s><n/>孵化一個可產生蟲苔的毒液蟲巢，爆炸後可對附近的敵方地面單位造成傷害。
<s val="Coop_TraitTooltip_Subtitle">Deadly Charge</s><n/>Alarak intercepts target enemy unit and strikes it for heavy damage.	<s val="Coop_TraitTooltip_Subtitle">死亡衝鋒</s><n/>亞拉瑞克攔截目標敵方單位，並且對其造成大量傷害。
<s val="Coop_TraitTooltip_Subtitle">Destruction Wave</s><n/>Alarak unleashes a massive wave of force in a straight line, damaging enemies along its path and knocking them back.	<s val="Coop_TraitTooltip_Subtitle">破滅衝擊</s><n/>亞拉瑞克放出一股巨大的能量波，對直線路徑上的敵人造成傷害並且將其擊退。
<s val="Coop_TraitTooltip_Subtitle">Structure Overcharge</s><n/>Energizes target friendly structure, giving it a powerful attack for a short period of time.	<s val="Coop_TraitTooltip_Subtitle">建築超載</s><n/>為目標友方建築注入能量，使其可在短時間內進行強大的攻擊。
<s val="Coop_TraitTooltip_Subtitle">Orbital Strike</s><n/>Fires several lasers from orbit, each of them dealing area damage.	<s val="Coop_TraitTooltip_Subtitle">軌道砲擊</s><n/>從軌道發射數道雷射光束，每道光束可造成範圍傷害。
<s val="Coop_TraitTooltip_Subtitle">Project Power Field</s><n/>Projects a power field onto the target location. Using this ability again relocates the power field.	<s val="Coop_TraitTooltip_Subtitle">投射能量力場</s><n/>在指定地點投射能量力場。再次施放此能力可將能量力場移往新地點。
<s val="Coop_TraitTooltip_Subtitle">Shield Overcharge</s><n/>Allows all friendly units and structures to absorb large amounts of damage for a period of time.	<s val="Coop_TraitTooltip_Subtitle">護盾超載</s><n/>額外賦予所有友方單位及建築大量護盾值，持續一小段時間。
<s val="Coop_TraitTooltip_Subtitle">Devour</s><n/>Dehaka can devour enemies to instantly kill them. Devouring an enemy heals Dehaka and grants him different types of temporary powers.	<s val="Coop_TraitTooltip_Subtitle">吞噬</s><n/>德哈卡會吞噬敵人，立即殺死對方。德哈卡吞噬敵人後會恢復生命值，並且暫時獲得各種類型的能力。
<s val="Coop_TraitTooltip_Subtitle">Primal Combat Evolution</s><n/>Primal Zerg units can fight each other for essence and evolve into more powerful units.	<s val="Coop_TraitTooltip_Subtitle">原生之戰進化</s><n/>原生蟲族單位可以一較高下，進化成更強大的單位。
<s val="Coop_TraitTooltip_Subtitle">Summon Primal Pack Leaders</s><n/>Call upon the fiercest of primal beasts, each with unique abilities to aid you in battle.	<s val="Coop_TraitTooltip_Subtitle">召喚原生族群領袖</s><n/>召喚最兇猛的原生蟲族，會運用獨特的能力來為你助陣。
<s val="Coop_TraitTooltip_Subtitle">Champion AI</s><n/>Load the personalities of Protoss heroes into your army units, granting them increased stats and new abilities.	<s val="Coop_TraitTooltip_Subtitle">英雄A.I.</s><n/>在你的單位中載入神族英雄的人格，可提高單位的屬性並獲得新技能。
<s val="Coop_TraitTooltip_Subtitle">Praetor Armor </s><n/>Deploy Fenix as a durable melee unit with area attacks and damage absorption.	<s val="Coop_TraitTooltip_Subtitle">司法官護甲</s><n/>將菲尼克斯部署為一名強韌的近戰單位，可造成範圍傷害並吸收所受到的傷害。
<s val="Coop_TraitTooltip_Subtitle">Solarite Dragoon</s><n/>Deploy Fenix as a powerful ranged unit that can unleash a devastating assault.	<s val="Coop_TraitTooltip_Subtitle">日炎龍騎士</s><n/>將菲尼克斯部署為一名可釋放毀滅型攻擊的強大遠程單位。
<s val="Coop_TraitTooltip_Subtitle">Call in the Fleet</s><n/>Order the Dominion Fleet to unleash massive damage on enemies in a specific area.	<s val="Coop_TraitTooltip_Subtitle">呼叫艦隊</s><n/>命令自治聯盟艦隊對特定區域內的敵人造成莫大傷害。
<s val="Coop_TraitTooltip_Subtitle">Salvage</s><n/>Collect resources from friendly units as they are killed to recover quickly from setbacks and make the best of bad situations.	<s val="Coop_TraitTooltip_Subtitle">回收</s><n/>從陣亡的友方單位身上回收資源，加快重整旗鼓的速度。
<s val="Coop_TraitTooltip_Subtitle">Space Platform Reallocation</s><n/>Commandeer a space station and teleport it onto the battlefield, crushing anything in its path. The station will then release assault drones for additional damage.	<s val="Coop_TraitTooltip_Subtitle">調度太空站</s><n/>控制一艘太空站並將其傳送至戰場，摧毀路徑上的任何物體。太空站會放出突擊無人機，造成額外傷害。
<s val="Coop_TraitTooltip_Subtitle">Chrono Wave</s><n/>Temporarily increases the production speeds of all friendly structures to 200%.	<s val="Coop_TraitTooltip_Subtitle">超時空波動</s><n/>暫時將所有友方建築的生產速度提高至200%。
<s val="Coop_TraitTooltip_Subtitle">Orbital Strike</s><n/>Fire individual lasers from orbit that deal area damage. This ability has no cooldown.	<s val="Coop_TraitTooltip_Subtitle">軌道砲擊</s><n/>從軌道發射雷射光束，每道光束可造成範圍傷害。此技能無冷卻時間。
<s val="Coop_TraitTooltip_Subtitle">Solar Lance</s><n/>Strafes the target area with three laser beams for significant damage.	<s val="Coop_TraitTooltip_Subtitle">日炎熱線</s><n/>發射3道雷射光束掃射目標區域，造成大量傷害。
<s val="Coop_TraitTooltip_Subtitle">Assimilation Aura</s><n/>Temporarily causes all nearby enemies to drop resources when killed.	<s val="Coop_TraitTooltip_Subtitle">同化靈氣</s><n/>暫時使附近所有敵人在死亡時轉化為資源。
<s val="Coop_TraitTooltip_Subtitle">Leaping Strike</s><n/>Kerrigan leaps to her target and damages it. Can be used without a target to travel quickly.	<s val="Coop_TraitTooltip_Subtitle">跳躍打擊</s><n/>凱莉根跳向目標，並且對其造成傷害，未選擇目標時可做為快速移動的手段。
<s val="Coop_TraitTooltip_Subtitle">Psionic Shift</s><n/>Kerrigan dashes through enemies, dealing damage to all enemies in her path.	<s val="Coop_TraitTooltip_Subtitle">幽能穿梭</s><n/>凱莉根衝鋒穿越敵人，對路徑上所有敵人造成傷害。
<s val="Coop_TraitTooltip_Subtitle">Dogs of War</s><n/>Deploy enthralled Zerg that will seek out and attack nearby enemy units.	<s val="Coop_TraitTooltip_Subtitle">戰爭之犬</s><n/>部署受馴服的蟲族，牠們會搜索並攻擊附近的敵人。
<s val="Coop_TraitTooltip_Subtitle">Forced Conscription</s><n/>Drop a Supply Bunker filled with unfortunate Troopers souls to man it.	<s val="Coop_TraitTooltip_Subtitle">強制徵召</s><n/>空降一座補給碉堡，裡面裝滿了不走運的士兵來武裝它。
<s val="Coop_TraitTooltip_Subtitle">Nuclear Annihilation</s><n/>Call down a seemingly endless barrage of Tactical Missiles followed by a Nuclear Missile.	<s val="Coop_TraitTooltip_Subtitle">核子浩劫</s><n/>呼叫無數戰術導彈進行轟炸，最後投下一枚核彈。
<s val="Coop_TraitTooltip_Subtitle">Defensive Drone</s><n/>Deploys a drone that provides nearby friendly units with a damage absorption shield for a limited time.	<s val="Coop_TraitTooltip_Subtitle">防禦無人機</s><n/>部署一架無人機，使附近友方單位暫時獲得可吸收傷害的護盾。
<s val="Coop_TraitTooltip_Subtitle">Instant Regeneration</s><n/>Instantly revives Nova at the target location. Resource cost is determined by the amount of time remaining.	<s val="Coop_TraitTooltip_Subtitle">立刻再生</s><n/>立即在目標地點復活諾娃，花費依剩餘的時間而定。
